pitch_type,pitch_id,game_date,start_speed,x0,z0,player_name,batter,pitcher,events,description,spin_dir,spin_rate,break_angle,break_length,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,px,pz,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs,tfs_zulu,catcher,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,hit_speed,hit_angle,effective_speed,release_spin_rate,release_extension,game_pk
FF,127,2016-09-20,91.59,-2.495,5.492,Kris Bryant,592178,595001,Flyout,In play out(s),213.091,2119.606,29.3,4.2,11,Kris Bryant flies out to left fielder Adam Duvall.  ,R ,R,R,CHC,CIN,X,7,1,0,1,2016,-5.919,9.041,-0.603,3.677,null,452657,451594,2,2,bot,56.84,95.96,4154,2016-09-21T00:41:54Z,541608,427224,160920_194213,7,-133.461,-1.77,-10.65,29.47,-15.84,3.4,1.62,150,87.7,35.84,91.72,2290,6.39,449120
FF,264,2016-09-20,94.03,1.68,6.069,Kris Bryant,592178,593974,Double,In play run(s),132.489,2210.444,-36.8,5.2,12,Kris Bryant doubles (35) on a fly ball to right fielder Scott Schebler.   Jon Lester scores.    Dexter Fowler to 3rd.,R ,R,L,CHC,CIN,X,9,1,1,0,2016,8.127,7.405,1,3.007,null,452657,451594,2,4,bot,179.69,142.76,12134,2016-09-21T01:21:34Z,541608,427224,160920_202135,-4.68,-136.515,-4.89,15.34,30.03,-18.13,3.4,1.62,180,79.6,60.12,92.75,2124,5.65,449120
FF,573,2016-09-20,93.25,-2.204,5.794,Kris Bryant,592178,543483,Single,In play no out,211.165,2064.808,25.6,4.2,5,Kris Bryant singles on a line drive to left fielder Adam Duvall.   Dexter Fowler to 2nd.,R ,R,R,CHC,CIN,X,7,3,0,2,2016,-5.389,8.869,0.184,2.326,null,null,451594,0,8,bot,79.69,128.01,25112,2016-09-21T02:51:12Z,541608,427224,160920_215135,8.24,-135.291,-6.31,-9.97,30.14,-15.7,3.4,1.62,246,107.4,8.13,93.61,2120,6.75,449120
FF,420,2016-09-20,93.7,-1.425,5.809,Kris Bryant,592178,593582,Flyout,In play out(s),223.742,2498.893,41.6,4.8,5,Kris Bryant flies out to right fielder Scott Schebler.  ,R ,R,R,CHC,CIN,X,9,1,1,2,2016,-8.659,9.008,0.156,2.642,null,null,451594,0,6,bot,181.72,100.03,20611,2016-09-21T02:06:11Z,541608,427224,160920_210633,7.26,-136.093,-5.66,-16.21,30.42,-15.24,3.4,1.62,282,84.7,26.42,92.67,2446,5.87,449120
FT,319,2016-09-19,89.89,-2.003,6.022,Kris Bryant,592178,534947,Flyout,In play out(s),220.858,2134.179,31.6,5.2,11,Kris Bryant flies out to left fielder Adam Duvall.  ,R ,R,R,CHC,CIN,X,7,1,0,0,2016,-7.28,8.37,-1.001,2.555,null,null,null,1,6,bot,94.24,81.21,14144,2016-09-20T01:41:44Z,571466,482631,160919_204205,5.02,-130.856,-5.54,-12.59,28.23,-17.62,3.41,1.62,308,83.5,30.17,90.09,2151,6.51,449109
SL,411,2016-09-19,91.42,-2.631,6.216,Kris Bryant,592178,502028,Flyout,In play out(s),110.194,568.942,-10.8,7.1,2,Kris Bryant flies out sharply to center fielder Hernan Iribarren.  ,R ,R,R,CHC,CIN,X,8,1,0,1,2016,2.71,0.96,-0.036,2.836,null,null,451594,2,7,bot,118.1,71.55,20901,2016-09-20T02:09:01Z,571466,482631,160919_210920,5.9,-132.67,-3.11,4.88,25.82,-30.38,3.41,1.62,312,101.5,48.93,90.95,2456,6.01,449109
FF,32,2016-09-18,95.05,-1.069,6.147,Kris Bryant,592178,503449,Groundout,In play out(s),214.579,2293.004,34.8,4.1,9,Kris Bryant grounds out second baseman Scooter Gennett to first baseman Chris Carter.  ,R ,R,R,CHC,MIL,X,4,4,0,0,2016,-6.37,9.21,0.298,1.862,null,null,null,1,1,bot,126.39,146.32,182850,2016-09-18T18:28:50Z,455117,427019,160918_132911,6.01,-138.354,-9.14,-12.41,29.55,-14.17,3.31,1.62,150,84.7,-4.96,94.67,1858,5.99,449096
FF,187,2016-09-18,96.78,-0.673,6.161,Kris Bryant,592178,503449,Single,In play no out,219.027,1937.862,29.6,4.4,8,Kris Bryant singles on a sharp ground ball to center fielder Domingo Santana.   Kyle Hendricks to 2nd.,R ,R,R,CHC,MIL,X,8,4,1,1,2016,-5.84,7.17,0.235,1.984,null,null,543294,1,3,bot,124.87,81.72,191104,2016-09-18T19:11:04Z,455117,427019,160918_141126,4.65,-140.635,-8.5,-11.83,28.64,-17.58,3.28,1.62,272,101.3,6.68,96.47,1815,6.03,449096
SL,319,2016-09-18,85.4,-0.964,6.211,Kris Bryant,592178,503449,Groundout,In play out(s),184.341,602.057,-0.9,7.3,14,Kris Bryant grounds out shortstop Orlando Arcia to first baseman Chris Carter.  ,R ,R,R,CHC,MIL,X,6,4,1,1,2016,-0.25,3.25,0.867,1.798,null,null,null,0,5,bot,104.56,150.9,194939,2016-09-18T19:49:39Z,455117,427019,160918_145001,4.56,-124.095,-5.28,-0.39,25.39,-27.04,3.28,1.62,119,65,-3.55,84.02,1973,5.55,449096
FC,44,2016-09-17,86.28,-2.129,5.54,Kris Bryant,592178,605200,Triple,In play run(s),177.701,1357.756,-4.1,5.3,6,Kris Bryant triples (3) on a sharp line drive to center fielder Domingo Santana.   Tommy La Stella scores.,R ,R,R,CHC,MIL,X,8,3,1,0,2016,0.29,7.21,0.431,2.522,null,null,600303,0,1,bot,163.45,60.36,201853,2016-09-17T20:18:53Z,455117,427220,160917_151904,6.29,-125.609,-3.43,0.47,22.37,-20.43,3.4,1.61,351,102.8,22.16,86.41,2301,6.13,449081
SI,33,2016-09-15,95.82,-1.569,5.982,Kris Bryant,592178,519076,Groundout,In play out(s),225.315,2235.708,37.9,4.8,13,Kris Bryant grounds out softly shortstop Orlando Arcia to first baseman Chris Carter.  ,R ,R,R,CHC,MIL,X,6,4,0,0,2016,-7.75,7.63,-1.141,2.495,null,null,null,1,1,bot,110.65,166.16,1505,2016-09-16T00:15:05Z,455117,504381,160915_191541,3.95,-139.158,-6.48,-15.25,30.44,-17.09,3.4,1.61,93,53.4,-15.71,96.08,2384,6.52,449053
FF,618,2016-09-15,94.09,-0.898,6.118,Kris Bryant,592178,592804,Groundout,In play out(s),203.697,2143.884,24.8,3.5,14,Kris Bryant grounds out shortstop Orlando Arcia to first baseman Chris Carter.  ,R ,R,R,CHC,MIL,X,6,4,3,2,2016,-4.23,9.6,0.743,2.113,null,null,null,1,9,bot,110.65,158.02,31159,2016-09-16T03:11:59Z,455117,504381,160915_221237,5.95,-136.616,-8.35,-8.11,25.85,-13.69,3.4,1.61,133,91.5,-10.92,94.17,2498,6.21,449053
FF,455,2016-09-15,94.04,-2.042,5.373,Kris Bryant,592178,448614,Single,In play no out,196.166,1356.6,5.4,4.4,12,Kris Bryant singles on a ground ball to center fielder Keon Broxton.  ,R ,R,R,CHC,MIL,X,8,4,1,2,2016,-1.86,6.37,0.977,2.807,null,null,null,1,7,bot,120.81,93.42,22200,2016-09-16T02:22:00Z,455117,504381,160915_212239,8.83,-136.455,-3.27,-3.55,26.17,-19.92,3.4,1.61,155,100.2,-3.34,93.85,2349,6.1,449053
SI,147,2016-09-15,95.65,-1.731,5.912,Kris Bryant,592178,519076,Lineout,In play out(s),250.859,1996.667,32.6,6.6,11,Kris Bryant lines out softly to first baseman Chris Carter.  ,R ,R,R,CHC,MIL,X,3,3,1,2,2016,-9.23,3.17,-1.261,2.885,null,null,null,0,3,bot,146.69,172.26,4758,2016-09-16T00:47:58Z,455117,504381,160915_194836,4.58,-138.942,-3.59,-18.07,30.92,-25.9,3.4,1.61,92,42.7,28.02,95.79,2368,6.49,449053
FF,236,2016-09-14,98.39,-1.212,5.181,Kris Bryant,592178,593372,Flyout,In play out(s),218.853,2102.787,35.4,4,1,Kris Bryant flies out sharply to left fielder Brandon Moss.  ,R ,R,R,STL,CHC,X,7,1,1,1,2016,-6.31,7.8,-0.354,3.035,null,null,451594,2,5,top,82.23,56.8,185026,2016-09-14T18:50:26Z,425877,427095,160914_135037,4.74,-144.092,-3.26,-13.1,37.53,-15.91,3.42,1.61,373,105.9,39.58,96.9,2270,5.64,449037
SL,367,2016-09-14,87.84,-1.333,5.812,Kris Bryant,592178,455009,Double Play,In play out(s),155.411,481.642,-5.4,7.1,9,Kris Bryant lines into an unassisted double play first baseman Matt Carpenter.   Dexter Fowler doubled off 1st.,R ,R,R,STL,CHC,X,3,3,0,0,2016,1.06,2.28,0.689,2.076,null,null,451594,2,7,top,154.31,169.21,193346,2016-09-14T19:33:46Z,425877,427095,160914_143355,4.79,-128.992,-3.93,1.78,28.2,-28.28,3.42,1.61,88,66,12.87,88.59,2223,6.68,449037
FC,499,2016-09-14,90.43,-0.44,6.258,Kris Bryant,592178,608379,Triple,In play run(s),193.061,1988.857,11.3,3.7,12,Kris Bryant triples (2) on a line drive to center fielder Randal Grichuk.   Jorge Soler scores.,R ,R,R,STL,CHC,X,8,3,1,0,2016,-2.3,9.86,1.08,2.673,null,null,624585,2,9,top,146.69,37.98,201011,2016-09-14T20:10:11Z,425877,427095,160914_151014,4.77,-132.588,-6.64,-4.11,27.22,-14.47,3.42,1.61,301,97.2,18.08,91.98,2201,6.98,449037
CH,250,2016-09-13,88.76,-1.498,5.858,Kris Bryant,592178,621052,Flyout,In play out(s),237.055,2170.827,33,6.4,9,Kris Bryant flies out to left fielder Brandon Moss.  ,R ,R,R,STL,CHC,X,7,1,1,2,2016,-9.498,6.112,0.339,1.807,null,575929,451594,1,4,top,89.33,78.67,12817,2016-09-14T01:28:17Z,425877,427164,160913_202829,7.9,-129.871,-6.21,-16.31,25.84,-21.61,3.42,1.61,330,88.6,42.62,89.29,1762,6.45,449022
FT,390,2016-09-13,97.63,-1.443,5.883,Kris Bryant,592178,621052,Single,In play no out,226.967,2352.652,41.7,4.6,1,Kris Bryant singles on a line drive to left fielder Brandon Moss.  ,R ,R,R,STL,CHC,X,7,3,0,1,2016,-8.237,7.654,-0.359,3.315,null,null,null,2,6,top,98.47,82.74,20914,2016-09-14T02:09:14Z,425877,427164,160913_210925,6.07,-143.22,-4.34,-16.98,35.45,-16.33,3.42,1.61,252,83.9,16.55,97.48,2440,6.21,449022
FF,240,2016-09-12,88.99,-1.613,5.51,Kris Bryant,592178,502190,Flyout,In play out(s),201.194,587.155,1.5,6.5,3,Kris Bryant flies out to left fielder Jeremy Hazelbaker.  ,R ,R,R,STL,CHC,X,7,1,3,2,2016,-1.109,2.816,0.563,2.838,null,null,null,1,5,top,80.2,96.98,11830,2016-09-13T01:18:30Z,425877,427538,160912_201839,5.97,-130.255,-1.57,-1.91,27.22,-27.26,3.42,1.61,312,81.8,33.52,86.98,2174,4.95,449007
