Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Adrian Gonzalez,Dodgers,111,418,472,120,84,23,0,13,54,65,47,7,90,2,5,0,12,0,2,.287,1908
Nelson Cruz,Mariners,155,589,667,169,98,27,1,43,96,105,62,5,159,9,7,0,15,2,0,.287,2434
Buster Posey,Giants,87,337,380,96,63,22,1,10,58,52,38,5,44,2,3,0,13,5,0,.285,9166
Matt Kemp,Braves,54,212,239,60,33,15,0,12,35,39,20,3,56,1,6,0,9,1,0,.283,5631
Adonis Garcia,Braves,26,99,108,28,25,2,0,1,11,8,6,2,23,3,0,0,5,0,0,.283,13777
Yoenis Cespedes,Mets,38,139,157,39,17,8,1,13,25,31,16,2,30,1,1,0,6,1,1,.281,13110
Victor Martinez,Tigers,138,524,578,147,102,21,0,24,59,79,47,7,85,4,3,0,19,0,0,.281,393
Danny Valencia,Athletics,62,233,255,65,47,10,1,7,36,25,20,1,55,2,0,0,6,0,0,.279,6364
Eric Hosmer,Royals,83,321,351,89,63,15,1,10,36,51,28,3,64,0,2,0,11,5,1,.277,3516
Trevor Plouffe,Twins,45,181,196,50,33,10,0,7,21,30,12,0,34,0,2,1,5,0,0,.276,7462
Tommy Joseph,Phillies,55,188,210,51,30,10,0,11,27,28,15,0,40,3,4,0,3,1,0,.271,10349
Edwin Encarnacion,Blue Jays,57,218,248,59,32,14,0,13,32,47,27,1,47,1,1,0,5,1,0,.271,2151
Neil Walker,Mets,38,134,156,36,25,5,1,5,18,17,19,0,23,1,2,0,5,1,1,.269,7539
Ben Zobrist,Cubs,57,206,248,55,34,13,2,6,30,30,37,3,33,2,1,2,7,2,2,.267,7435
Jose Bautista,Blue Jays,23,79,100,21,13,3,0,5,12,14,19,0,24,2,0,0,4,1,1,.266,1887
Nick Markakis,Braves,45,174,194,46,31,10,0,5,18,23,18,0,27,0,2,0,7,0,0,.264,5930
Christian Yelich,Marlins,29,106,121,28,16,5,1,6,11,22,14,4,24,0,1,0,4,2,1,.264,11477
Hernan Perez,Brewers,27,110,116,29,17,6,2,4,18,16,5,0,26,0,1,0,3,11,1,.264,5751
Brandon Phillips,Reds,44,167,178,44,26,11,1,6,22,23,6,2,24,2,3,0,6,4,4,.263,791
Melky Cabrera,White Sox,39,152,160,40,26,7,1,6,16,24,5,1,18,0,3,0,7,0,0,.263,4022
Stephen Piscotty,Cardinals,62,236,267,62,38,14,0,10,38,35,26,0,46,5,0,0,4,4,4,.263,13367
Miguel Sano,Twins,57,208,241,54,26,13,1,14,29,35,29,1,85,1,3,0,4,0,0,.260,12164
Jay Bruce,- - -,71,277,299,70,32,16,2,20,45,57,20,3,61,1,1,0,9,2,1,.253,9892
Hunter Pence,Giants,44,167,185,42,30,6,0,6,23,20,16,1,43,1,1,0,5,0,1,.251,8252
Michael Saunders,Blue Jays,48,176,210,44,17,13,2,12,34,28,28,2,60,4,2,0,5,1,0,.250,9981
Marcell Ozuna,Marlins,50,196,217,49,32,6,1,10,25,34,17,1,34,1,3,0,6,0,0,.250,10324
Chris Carter,Brewers,52,184,217,45,18,8,0,19,34,34,28,0,71,4,1,0,7,3,0,.245,9911
Albert Pujols,Angels,117,450,499,110,72,15,0,23,53,96,43,6,56,1,5,0,15,3,0,.244,1177
Todd Frazier,White Sox,57,218,246,53,29,7,0,17,36,44,26,1,55,1,1,0,2,4,1,.243,785
Giancarlo Stanton,Marlins,77,289,331,70,34,17,0,19,38,55,37,4,97,3,1,0,2,0,0,.242,4949
David Peralta,Diamondbacks,28,108,116,26,16,5,3,2,15,10,7,1,27,1,0,0,3,2,0,.241,2136
Bryce Harper,Nationals,42,151,184,36,20,8,1,7,27,28,31,4,38,0,2,0,3,10,3,.238,11579
Ryan Zimmerman,Nationals,35,139,152,33,20,9,0,4,21,19,9,0,34,1,3,0,3,0,0,.237,4220
Mike Napoli,Indians,140,522,606,123,72,20,1,30,85,88,75,2,180,4,5,0,13,5,1,.236,3057
Khris Davis,Athletics,87,332,366,78,34,15,2,27,54,66,30,0,99,2,2,0,12,0,1,.235,9112
Brad Miller,Rays,57,205,232,48,23,11,1,13,29,42,23,0,67,3,1,0,1,2,1,.234,12775
Mark Teixeira,Yankees,46,168,192,39,30,5,0,4,19,19,23,0,44,0,1,0,1,2,0,.232,1281
Kendrys Morales,Royals,56,209,232,48,28,6,0,14,21,41,17,1,43,4,2,0,6,0,0,.230,8610
Colby Rasmus,Astros,47,184,206,42,26,8,0,8,17,35,19,0,60,0,3,0,3,3,1,.228,9893
Jake Lamb,Diamondbacks,67,261,295,59,28,10,5,16,41,47,32,4,88,1,1,0,10,3,0,.226,13329
Jung Ho Kang,Pirates,39,146,164,33,19,9,0,5,14,20,11,0,35,6,1,0,5,2,1,.226,17182
Mark Trumbo,Orioles,57,214,237,48,28,7,0,13,32,26,22,0,65,1,0,0,6,1,0,.224,6876
Brian McCann,Yankees,51,189,214,42,28,5,0,9,20,26,22,1,46,2,1,0,3,0,0,.222,4810
Logan Morrison,Rays,36,135,151,30,18,5,1,6,17,18,12,0,24,2,2,0,3,0,2,.222,9205
Adam Duvall,Reds,59,226,256,50,27,10,4,9,34,37,23,1,68,3,4,0,4,4,1,.221,10950
Welington Castillo,Diamondbacks,30,118,129,26,18,6,0,2,11,16,10,0,33,1,0,0,0,0,0,.220,3256
Matt Adams,Cardinals,30,100,114,22,13,5,0,4,11,14,12,1,35,1,1,0,0,0,1,.220,9393
Alex Dickerson,Padres,30,103,120,22,13,6,1,2,14,9,13,0,22,3,1,0,2,2,1,.214,12649
Chris Davis,Orioles,101,370,434,78,35,16,0,27,68,59,57,2,148,4,3,0,4,0,0,.211,9272
Corey Dickerson,Rays,38,136,147,28,9,9,1,9,17,20,9,2,35,0,1,0,3,0,0,.206,10762
Gregory Polanco,Pirates,40,158,167,32,15,9,2,6,19,24,8,1,36,0,1,0,4,4,0,.203,12907
Ryan Howard,Phillies,61,210,230,39,20,6,0,13,20,32,18,2,70,0,2,0,4,0,0,.186,2154
Brandon Moss,Cardinals,34,125,147,20,10,2,0,8,19,23,17,1,53,2,3,0,1,1,0,.160,4467
