Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
<a href=wins.aspx?date=2016-06-18&team=Angels&dh=0>2016-06-18</a>,LAA,@OAK,3,CF,1,5,5,2,0,1,0,1,1,3,0,0,1,0,0,0,0,0,0,.400
<a href=wins.aspx?date=2016-06-17&team=Angels&dh=0>2016-06-17</a>,LAA,@OAK,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-06-15&team=Angels&dh=0>2016-06-15</a>,LAA,MIN,3,CF,1,2,4,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-06-14&team=Angels&dh=0>2016-06-14</a>,LAA,MIN,3,CF,1,3,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-06-13&team=Angels&dh=0>2016-06-13</a>,LAA,MIN,3,DH,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-06-12&team=Angels&dh=0>2016-06-12</a>,LAA,CLE,2,CF,1,1,4,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1.000
<a href=wins.aspx?date=2016-06-11&team=Angels&dh=0>2016-06-11</a>,LAA,CLE,3,CF,1,4,4,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-06-10&team=Angels&dh=0>2016-06-10</a>,LAA,CLE,3,CF,1,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-06-09&team=Angels&dh=0>2016-06-09</a>,LAA,@NYY,3,CF,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,.250
<a href=wins.aspx?date=2016-06-08&team=Angels&dh=0>2016-06-08</a>,LAA,@NYY,3,CF,1,5,5,3,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,.600
<a href=wins.aspx?date=2016-06-07&team=Angels&dh=0>2016-06-07</a>,LAA,@NYY,3,CF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
