"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Isaias Asencio","Mexican (AAA)","29","4","12","12","3","2","1","0","0","0","0","0","0","5","0","0","0","0","0","0",".250","sa455606"
"Sergio Perez","- - -","27","39","112","121","28","21","6","1","0","19","10","7","0","24","1","0","1","5","2","1",".250","sa508059"
"Jose Bernardo Lopez","Mexican (AAA)","27","24","40","44","10","8","2","0","0","6","6","0","0","9","1","1","2","3","0","1",".250","sa509274"
"Gabriel Gomez Topete","Mexican (AAA)","22","10","12","14","3","3","0","0","0","0","0","2","0","2","0","0","0","0","0","0",".250","sa681596"
"Alan Espinoza","Mexican (AAA)","26","53","189","202","47","34","6","1","6","23","28","8","0","37","3","2","0","2","1","0",".249","sa543678"
"Sergio Garcia","- - -","26","48","161","173","40","24","7","2","7","21","20","3","0","30","2","2","5","3","4","0",".248","sa505255"
"Luis Fonseca","Mexican (AAA)","32","46","153","173","38","28","5","0","5","21","15","11","1","35","3","2","4","5","2","1",".248","sa592342"
"Javier Salazar","Mexican (AAA)","20","63","231","256","57","46","9","2","0","32","17","20","1","38","0","1","4","9","8","2",".247","sa3001898"
"J.C. Linares","- - -","32","41","134","158","33","21","6","0","6","31","14","22","3","18","1","0","1","8","1","1",".246","sa560967"
"Rufino Candelario","Mexican (AAA)","31","25","49","50","12","11","1","0","0","6","3","1","0","8","0","0","0","0","0","0",".245","sa509120"
"Barbaro Canizares","- - -","37","34","119","148","29","24","4","0","1","16","13","25","1","19","2","2","0","3","0","0",".244","6246"
"Jose Heberto Felix","- - -","29","49","140","149","34","30","4","0","0","18","21","6","0","8","0","1","2","5","0","1",".243","sa447630"
"Hector Paez","Mexican (AAA)","39","36","96","104","23","17","3","0","3","8","10","1","0","16","2","1","3","1","0","0",".240","sa508233"
"Enrique Trujillo","Mexican (AAA)","30","27","46","53","11","11","0","0","0","4","3","6","0","10","0","1","0","4","2","1",".239","sa502230"
"Omar Meza","Mexican (AAA)","20","20","46","54","11","9","2","0","0","8","8","6","0","6","1","0","1","5","1","2",".239","sa914755"
"Eliseo Aldazaba","Mexican (AAA)","26","55","189","218","45","25","15","1","4","29","25","20","1","41","5","3","1","2","7","4",".238","sa509444"
"Oscar Lemus","Mexican (AAA)","30","19","42","45","10","5","5","0","0","5","5","3","0","9","0","0","0","3","0","0",".238","sa509465"
"Kristian Delgado","Mexican (AAA)","23","36","105","115","25","17","7","1","0","14","10","5","0","8","1","2","2","1","2","0",".238","sa825026"
"Miguel Rodriguez","Mexican (AAA)","22","42","126","138","30","23","6","0","1","13","9","8","0","19","1","1","2","5","0","1",".238","sa914042"
"Leslie Anderson","Mexican (AAA)","35","21","76","83","18","13","5","0","0","8","4","5","0","11","1","1","0","2","0","0",".237","sa541190"
"Jonathan Jones","Mexican (AAA)","27","38","140","163","33","20","6","1","6","37","23","17","0","30","4","1","1","4","6","3",".236","sa526453"
"Ruben Rivera","Mexican (AAA)","43","43","115","129","27","18","5","0","4","19","20","12","0","30","1","1","0","1","5","2",".235","1550"
"Brandon Macias","Mexican (AAA)","28","57","173","196","40","27","5","0","8","21","31","16","0","47","3","2","2","1","2","2",".231","sa545208"
"Carlos Triunfel","Mexican (AAA)","27","12","52","58","12","12","0","0","0","4","2","4","0","10","2","0","0","1","0","1",".231","193"
"Adan Velazquez","Mexican (AAA)","27","29","74","83","17","15","1","0","1","4","8","6","0","9","0","1","2","4","1","0",".230","sa507254"
"Eduardo Dehesa","Mexican (AAA)","31","21","48","54","11","8","1","0","2","3","11","2","0","17","2","1","1","1","2","0",".229","sa502222"
"Francisco Cordoba","- - -","33","49","144","163","33","28","2","0","3","15","12","10","0","30","2","2","5","1","0","0",".229","sa509741"
"Roberto Valenzuela","Mexican (AAA)","22","33","70","81","16","13","2","1","0","12","7","4","0","6","1","1","5","1","0","0",".229","sa3001901"
"Jonathan Aceves","Mexican (AAA)","39","53","171","192","39","25","7","0","7","20","26","16","1","37","2","1","2","5","1","1",".228","sa206467"
"Ivan Bellazetin","Mexican (AAA)","30","38","84","97","19","16","2","1","0","14","6","7","0","14","1","1","4","5","2","2",".226","sa508654"
"Arturo Rodriguez","Mexican (AAA)","25","22","80","88","18","12","3","1","2","7","9","5","0","14","0","1","2","4","0","0",".225","sa688986"
"Brandon Villarreal","Mexican (AAA)","22","46","80","91","18","14","3","0","1","16","5","6","0","12","1","3","1","0","1","2",".225","sa878425"
"Jorge Sesma","Mexican (AAA)","20","22","18","20","4","4","0","0","0","5","3","1","0","6","1","0","0","1","0","1",".222","sa978500"
"Richy Pedroza","Mexican (AAA)","25","57","163","202","36","29","6","0","1","26","15","28","0","32","4","1","5","3","5","3",".221","sa621648"
"Alejandro Rivero","Mexican (AAA)","28","54","146","165","32","25","6","0","1","13","13","10","0","19","4","2","3","1","5","1",".219","sa592345"
"Luis Medina","Mexican (AAA)","22","35","55","65","12","8","2","1","1","11","5","5","0","12","0","0","5","0","2","0",".218","sa824736"
"Daric Barton","Mexican (AAA)","31","26","69","96","15","9","3","0","3","18","9","25","0","14","0","1","1","0","0","0",".217","5928"
"Leonardo Rodriguez","Mexican (AAA)","36","18","23","27","5","5","0","0","0","2","0","1","0","3","2","0","1","3","0","0",".217","sa508189"
"Angel Chavarin","Mexican (AAA)","26","27","60","64","13","12","1","0","0","2","4","3","0","25","1","0","0","1","0","2",".217","sa547724"
"Ismael Martinez","Mexican (AAA)","24","21","65","76","14","6","4","2","2","7","11","9","4","21","2","0","0","3","0","0",".215","sa660373"
"Adan Munoz","- - -","39","42","143","155","30","23","3","0","4","15","17","9","1","32","3","0","0","3","0","0",".210","sa201393"
"Aldo Flores","Mexican (AAA)","21","16","43","45","9","8","0","0","1","5","2","2","0","14","0","0","0","0","0","0",".209","sa841102"
"Reynaldo Rodriguez","Mexican (AAA)","30","17","63","71","13","12","0","0","1","8","2","8","0","15","0","0","0","0","5","2",".206","sa329131"
"Jesus Valenzuela","- - -","28","26","40","44","8","5","1","1","1","4","3","3","0","9","1","0","0","1","0","0",".200","sa592343"
"Juan Carlos Garcia","Mexican (AAA)","24","11","10","12","2","1","0","0","1","2","4","2","0","2","0","0","0","0","0","0",".200","sa652681"
"Cesar Rodriguez","Mexican (AAA)","22","27","40","44","8","5","3","0","0","5","4","4","0","8","0","0","0","1","1","0",".200","sa655677"
"Joe Munoz","Mexican (AAA)","23","8","15","16","3","2","0","0","1","2","4","1","0","6","0","0","0","0","0","0",".200","sa657976"
"Gilberto Carrera","Mexican (AAA)","22","7","5","5","1","1","0","0","0","4","0","0","0","2","0","0","0","1","0","0",".200","sa728814"
"Amilcar Gomez","Mexican (AAA)","22","32","50","60","10","6","1","1","2","9","7","8","0","12","0","0","2","1","0","0",".200","sa824775"
"Steve Carrillo","Mexican (AAA)","30","11","35","39","7","7","0","0","0","2","2","2","0","8","1","1","0","1","1","1",".200","sa922596"
"Humberto Sosa","Mexican (AAA)","31","46","161","180","32","20","9","0","3","15","30","12","1","31","0","5","2","6","1","0",".199","sa454224"
"Adrian Gutierrez","Mexican (AAA)","26","22","46","50","9","5","3","0","1","4","4","3","0","8","1","0","0","0","0","0",".196","sa659509"
"Yousamot Cota","Mexican (AAA)","23","31","36","43","7","5","2","0","0","6","1","5","0","6","1","1","0","2","0","0",".194","sa869754"
"Kevin Flores","Mexican (AAA)","32","33","98","108","19","15","4","0","0","13","7","3","0","16","4","0","3","5","2","0",".194","sa509435"
"Juan Kirk","Mexican (AAA)","21","14","26","31","5","5","0","0","0","2","2","2","0","5","2","0","1","1","0","0",".192","sa104999"
"Mario Ivan Santana","Mexican (AAA)","41","16","26","30","5","3","2","0","0","2","3","1","0","5","1","0","2","2","0","1",".192","sa187685"
"Arel Campoy","Mexican (AAA)","21","27","47","61","9","4","4","0","1","9","7","6","0","12","4","1","3","0","0","0",".191","sa3001896"
"Isidro Pina","Mexican (AAA)","28","44","98","111","18","16","2","0","0","9","6","10","0","24","1","0","2","8","0","0",".184","sa509466"
"Francisco Ferreiro","Mexican (AAA)","23","28","44","46","8","5","3","0","0","2","1","1","0","10","0","0","1","3","1","0",".182","sa824822"
"Eugenio Velez","Mexican (AAA)","35","16","62","68","11","7","2","0","2","8","11","4","0","5","0","2","0","3","2","1",".177","3893"
"Roman Pena","- - -","30","26","51","58","9","5","3","0","1","6","9","6","0","23","0","1","0","1","0","0",".176","sa294705"
"Sammy Ayala","Mexican (AAA)","22","9","17","18","3","3","0","0","0","0","2","1","0","7","0","0","0","1","0","0",".176","sa658324"
"Olmo Rosario","Mexican (AAA)","36","13","46","51","8","6","2","0","0","3","2","5","0","7","0","0","0","4","1","1",".174","sa202325"
"Jesus Loya","Mexican (AAA)","25","38","69","73","12","10","1","0","1","10","5","3","0","23","0","0","1","1","1","1",".174","sa548065"
"Robi Estrada","Mexican (AAA)","28","24","29","33","5","4","0","0","1","6","4","2","0","8","0","1","1","1","2","0",".172","sa328059"
"Orlando Pina","Mexican (AAA)","19","17","35","41","6","5","1","0","0","3","4","3","0","12","1","2","0","2","0","0",".171","sa916410"
"Carlos Morales","Mexican (AAA)","33","33","82","84","14","11","2","0","1","4","6","1","0","19","1","0","0","7","0","0",".171","sa508256"
"Mario Vega","Mexican (AAA)","25","31","47","52","8","6","2","0","0","5","2","2","0","11","1","1","1","0","1","0",".170","sa546156"
"Jason Pridie","Mexican (AAA)","33","2","6","8","1","1","0","0","0","0","3","2","0","1","0","0","0","0","0","0",".167","4611"
"Jerome Pena","- - -","28","34","90","109","15","6","4","0","5","18","15","18","0","48","0","0","1","0","1","1",".167","sa503393"
"Juan Rodriguez","Mexican (AAA)","20","19","36","43","6","4","2","0","0","2","1","7","0","7","0","0","0","1","0","0",".167","sa828185"
"Roman Sesteaga","- - -","20","12","18","20","3","3","0","0","0","2","0","2","0","7","0","0","0","0","1","1",".167","sa977113"
"Josh Vargas","Mexican (AAA)","24","29","30","32","5","3","2","0","0","9","4","1","0","13","0","1","0","1","2","0",".167","sa977117"
"Alan Lopez","Mexican (AAA)","21","10","6","6","1","1","0","0","0","1","0","0","0","3","0","0","0","0","0","1",".167","sa977921"
"Miguel Olivo","Mexican (AAA)","38","20","69","72","11","8","1","1","1","5","6","2","0","24","0","1","0","5","1","0",".159","1638"
"Iker Franco","Mexican (AAA)","36","17","51","56","8","7","0","0","1","2","3","4","0","12","0","1","0","2","0","0",".157","sa203900"
"Carlos Ramirez","Mexican (AAA)","29","9","13","14","2","2","0","0","0","0","1","1","0","6","0","0","0","0","0","0",".154","sa501605"
"Joshua Banuelos","Mexican (AAA)","25","7","13","16","2","1","0","1","0","1","1","1","0","3","2","0","0","0","0","0",".154","sa829579"
"Francisco Salas","Mexican (AAA)","24","11","22","29","3","3","0","0","0","1","1","3","0","3","3","0","1","1","0","0",".136","sa978501"
"Marco Jaime","Mexican (AAA)","20","32","30","33","4","2","0","2","0","9","4","3","0","8","0","0","0","1","0","0",".133","sa3001900"
"Fernando Alejos","Mexican (AAA)","38","13","24","26","3","1","2","0","0","2","0","2","0","9","0","0","0","0","0","0",".125","sa508110"
"Andres Vizcarra","Mexican (AAA)","20","9","8","8","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".125","sa929989"
"Fernando Inzunza","Mexican (AAA)","18","10","17","18","2","2","0","0","0","2","0","0","0","3","1","0","0","1","0","0",".118","sa968696"
"Nyjer Morgan","Mexican (AAA)","36","3","9","13","1","1","0","0","0","4","0","2","0","1","2","0","0","0","0","0",".111","4885"
"Alvaro Gonzalez","Mexican (AAA)","23","5","9","9","1","1","0","0","0","0","1","0","0","2","0","0","0","0","0","0",".111","sa977663"
"Pedro Chavarria","Mexican (AAA)","23","11","9","11","1","1","0","0","0","1","2","2","0","4","0","0","0","0","0","0",".111","sa977664"
"Francisco Hernandez","Mexican (AAA)","22","29","20","21","2","0","2","0","0","4","2","0","0","9","0","0","1","0","0","0",".100","sa977120"
"Abraham Lopez","Mexican (AAA)","21","11","10","11","1","1","0","0","0","2","1","1","0","4","0","0","0","0","0","0",".100","sa977922"
"Francisco Esparragoza","Mexican (AAA)","34","21","31","40","3","2","1","0","0","4","2","7","0","7","0","1","1","0","0","0",".097","sa508061"
"Jonathan Herrera","Mexican (AAA)","32","8","22","30","2","2","0","0","0","1","2","3","0","8","0","0","5","0","0","0",".091","4182"
"Kyle Blanks","Mexican (AAA)","30","3","13","13","1","0","0","0","1","1","2","0","0","5","0","0","0","0","0","0",".077","49"
"Adrian Nicoli","Mexican (AAA)","20","9","13","14","1","1","0","0","0","0","0","0","0","1","1","0","0","1","2","1",".077","sa3001902"
"Albert Canedo","Mexican (AAA)","21","16","15","16","1","1","0","0","0","1","0","1","0","4","0","0","0","2","0","0",".067","sa3001903"
"Miguel Guzman","Mexican (AAA)","21","18","15","17","1","1","0","0","0","3","0","0","0","1","0","0","2","0","1","1",".067","sa728944"
"Cesar Del Angel","- - -","26","13","16","18","1","1","0","0","0","1","0","0","0","4","0","0","2","1","0","0",".063","sa624680"
"Omar Quintanilla","Mexican (AAA)","35","2","1","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".000","6335"
"Armando Lomeli","Mexican (AAA)","24","2","2","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","sa104986"
"Gaudencio Aguirre","Mexican (AAA)","44","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","sa185590"
"Ruben Ybarra","Mexican (AAA)","23","2","2","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","sa3001897"
"Ciro Norzagaray","Mexican (AAA)","22","7","7","8","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0",".000","sa3002597"
"Jose Cobos","Mexican (AAA)","36","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","sa508500"
"Miguel Torres","Mexican (AAA)","29","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","sa509440"
"Genaro Andrade","Mexican (AAA)","32","3","5","6","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0",".000","sa544823"
"Eduardo Mendivil","Mexican (AAA)","25","5","4","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","sa658698"
"Abraham Gonzalez","Mexican (AAA)","21","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","sa740815"
"Gerardo Garcia","Mexican (AAA)","21","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".000","sa919817"
"Jordan Aboites","Mexican (AAA)","22","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".000","sa977122"
"Nestor Linares","Mexican (AAA)","22","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","sa977920"
"Gibran Guerra","Mexican (AAA)","18","5","7","7","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0",".000","sa978221"
"Pedro Arenas","Mexican (AAA)","19","7","10","13","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0",".000","sa978222"
