"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Joc Pederson","Dodgers (AAA)","25","3","9","10","3","1","0","0","2","2","4","0","0","2","0","1","0","0","0","0",".333","11899"
"Rafael Montero","Mets (AAA)","26","3","6","7","2","1","1","0","0","1","0","0","0","2","0","0","1","0","0","0",".333","12760"
"Michael Roth","Giants (AAA)","27","7","12","13","4","4","0","0","0","0","1","1","0","4","0","0","0","0","0","0",".333","13736"
"Mitch Haniger","Mariners (AAA)","26","5","18","22","6","4","1","0","1","3","2","3","0","1","1","0","0","0","0","0",".333","14274"
"Dustin Garneau","Rockies (AAA)","29","14","48","55","16","7","4","0","5","10","10","5","0","12","1","1","0","1","0","0",".333","9433"
"Michael Blazek","Brewers (AAA)","28","13","9","10","3","3","0","0","0","1","4","1","0","2","0","0","0","0","0","0",".333","9654"
"Ivan De Jesus Jr.","Brewers (AAA)","30","54","195","219","65","49","11","2","3","27","27","12","0","29","7","0","5","5","1","1",".333","9886"
"Jacob Hannemann","Cubs (AAA)","26","13","48","51","16","12","4","0","0","7","5","2","0","13","0","1","0","1","7","0",".333","sa550326"
"Bubba Derby","Brewers (AAA)","23","1","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","sa875183"
"Alejandro Garcia","Astros (AAA)","26","10","36","39","12","9","3","0","0","13","2","1","0","2","1","0","1","0","1","0",".333","sa880808"
"Amed Rosario","Mets (AAA)","21","67","277","300","92","66","15","4","7","42","48","16","0","46","4","3","0","10","12","4",".332","sa732115"
"Jose Pirela","Padres (AAA)","27","48","181","201","60","34","10","3","13","37","42","15","0","26","2","1","2","4","8","3",".331","5485"
"Raul Mondesi","Royals (AAA)","21","40","163","179","54","33","12","3","6","29","25","10","2","41","0","3","3","1","14","2",".331","13769"
"Eric Sogard","Brewers (AAA)","31","24","91","107","30","19","8","0","3","30","17","15","0","12","0","1","0","0","5","0",".330","7927"
"Jeremy Hazelbaker","Diamondbacks (AAA)","29","22","85","96","28","15","6","2","5","19","15","10","1","23","0","1","0","0","4","0",".329","9399"
"Kyle Farmer","Dodgers (AAA)","26","20","76","82","25","15","5","0","5","14","19","5","0","11","1","0","0","4","0","1",".329","sa620958"
"Alex Verdugo","Dodgers (AAA)","21","61","222","256","73","54","13","3","3","40","34","29","1","25","2","3","0","3","4","1",".329","sa828699"
"Josh Wilson","Rangers (AAA)","36","22","73","82","24","16","4","0","4","11","16","4","0","15","2","2","1","2","0","1",".329","2102"
"Ramon Torres","Royals (AAA)","24","53","211","221","69","55","8","1","5","28","34","6","0","17","1","0","3","3","8","2",".327","14113"
"Socrates Brito","Diamondbacks (AAA)","24","22","80","90","26","16","6","3","1","12","13","9","0","17","0","1","0","1","3","1",".325","12944"
"Rob Segedin","Dodgers (AAA)","28","9","37","38","12","8","2","0","2","7","5","1","0","10","0","0","0","0","0","1",".324","11446"
"Chad Pinder","Athletics (AAA)","25","9","37","39","12","10","2","0","0","1","1","2","0","14","0","0","0","0","1","1",".324","15191"
"Luke Voit","Cardinals (AAA)","26","64","232","265","75","41","21","1","12","29","46","24","1","48","8","1","0","3","1","1",".323","sa502753"
"Austin Slater","Giants (AAA)","24","46","174","196","56","40","12","0","4","27","26","15","0","38","3","2","2","5","4","3",".322","16153"
"Tim Federowicz","Giants (AAA)","29","37","135","151","43","31","8","0","4","16","19","16","1","34","0","0","0","2","1","0",".319","8609"
"Victor Cruzado","Mets (AAA)","25","25","63","66","20","17","1","1","1","7","5","3","0","15","0","0","0","1","0","0",".317","sa597033"
"Rafael Ortega","Padres (AAA)","26","64","230","251","73","47","17","4","5","36","33","19","0","30","0","1","1","6","14","4",".317","10323"
"Ildemaro Vargas","Diamondbacks (AAA)","25","65","281","308","89","59","22","2","6","57","38","13","0","24","6","5","3","8","5","3",".317","sa504705"
"Nate Orf","Brewers (AAA)","27","58","196","223","62","50","8","4","0","34","29","19","0","31","1","5","2","7","3","1",".316","sa579765"
"Jan Vazquez","Rockies (AAA)","26","6","19","20","6","3","1","1","1","2","1","0","0","3","0","0","1","1","0","0",".316","sa501536"
"Dominic Smith","Mets (AAA)","22","69","279","303","88","62","18","1","7","37","41","23","3","52","1","0","0","8","0","1",".315","sa737502"
"Willians Astudillo","Diamondbacks (AAA)","25","18","54","58","17","10","7","0","0","9","6","2","0","2","1","0","1","4","0","1",".315","sa504866"
"Collin Ferguson","Rockies (AAA)","24","12","35","41","11","9","1","0","1","7","7","5","0","6","0","1","0","0","1","1",".314","sa829421"
"Jorge Bonifacio","Royals (AAA)","24","13","51","57","16","9","2","2","3","6","12","6","0","8","0","0","0","1","0","0",".314","12174"
"Cal Towey","Marlins (AAA)","27","11","32","41","10","7","2","0","1","3","4","6","0","10","3","0","0","1","2","1",".313","sa579778"
"Lewis Brinson","Brewers (AAA)","23","45","173","204","54","34","13","1","6","41","25","22","2","45","5","4","0","2","7","5",".312","14352"
"Drew Stubbs","- - -","32","39","141","167","44","29","8","1","6","31","24","25","1","43","0","1","0","2","5","2",".312","9328"
"Tony Cruz","Padres (AAA)","30","24","77","84","24","15","6","0","3","13","15","6","1","20","1","0","0","2","0","0",".312","2802"
"Ronald Guzman","Rangers (AAA)","22","64","244","269","76","58","11","2","5","37","31","22","1","44","3","0","0","8","1","0",".311","sa659670"
"Tyler White","Astros (AAA)","26","63","248","279","77","52","15","1","9","47","38","26","0","57","3","2","0","2","3","2",".310","15564"
"Kyle Wren","Brewers (AAA)","26","58","213","242","66","49","10","5","2","39","28","27","0","31","0","0","2","4","9","4",".310","sa621577"
"Mike Tauchman","Rockies (AAA)","26","63","226","263","70","44","12","6","8","43","45","27","3","39","4","5","1","4","10","4",".310","sa737856"
"Rosell Herrera","Rockies (AAA)","24","55","181","203","56","40","12","2","2","34","15","17","0","38","1","2","2","5","15","2",".309","sa547996"
"Kevin Plawecki","Mets (AAA)","26","24","94","102","29","16","8","0","5","14","19","5","0","10","1","2","0","4","0","0",".309","13807"
"Stephen Cardullo","Rockies (AAA)","29","8","26","31","8","5","3","0","0","6","5","4","0","4","1","0","0","2","1","1",".308","11204"
"Travis Snider","Rangers (AAA)","29","59","216","245","66","44","19","0","3","28","27","27","2","54","0","2","0","1","2","2",".306","2830"
"Jorge Soler","Royals (AAA)","25","23","82","99","25","13","2","0","10","14","25","15","0","23","2","0","0","0","0","0",".305","14221"
"Kaleb Cowart","Angels (AAA)","25","64","256","291","78","58","15","0","5","40","26","33","0","54","0","1","0","3","15","4",".305","11494"
"Orlando Calixte","Giants (AAA)","25","48","181","192","55","34","9","4","8","28","29","10","0","39","0","0","1","4","12","1",".304","11905"
"Tony Kemp","Astros (AAA)","25","53","229","252","69","51","13","2","3","39","25","18","0","21","0","0","5","7","11","5",".301","14894"
"Harrison Bader","Cardinals (AAA)","23","65","236","257","71","46","14","0","11","38","29","16","0","59","5","0","0","2","4","5",".301","sa857218"
"Shane Robinson","Angels (AAA)","32","43","163","188","49","40","7","2","0","29","25","21","1","16","2","2","0","2","7","1",".301","4249"
"Braden Shipley","Diamondbacks (AAA)","25","6","10","14","3","2","0","0","1","3","2","1","0","2","0","0","3","0","0","0",".300","15158"
"Paul DeJong","Cardinals (AAA)","23","48","177","190","53","31","9","0","13","27","34","9","0","46","2","1","1","3","0","2",".299","18015"
"Christian Villanueva","Padres (AAA)","26","40","144","162","43","27","7","1","8","23","31","15","0","29","0","2","1","7","1","1",".299","sa505993"
"Ian Happ","Cubs (AAA)","22","26","104","116","31","16","6","0","9","21","25","11","1","27","0","1","0","0","2","1",".298","17919"
"Danny Muno","Mariners (AAA)","28","28","94","110","28","17","8","0","3","17","12","15","0","29","0","1","0","1","2","4",".298","12214"
"Daniel Castro","Rockies (AAA)","24","53","188","199","56","42","11","1","2","23","24","6","1","17","0","3","2","6","1","1",".298","15450"
"Carlos Moncrief","Giants (AAA)","28","48","119","133","35","23","11","0","1","11","10","13","1","30","0","0","1","2","3","2",".294","sa392114"
"Bruce Maxwell","Athletics (AAA)","26","21","75","83","22","11","9","0","2","11","14","7","0","11","0","1","0","3","0","0",".293","13866"
"Jaff Decker","Athletics (AAA)","27","28","99","113","29","22","5","0","2","15","12","10","1","26","0","3","1","4","5","2",".293","7945"
"Willie Calhoun","Dodgers (AAA)","22","61","239","259","70","39","12","5","14","41","38","18","1","31","0","2","0","5","3","1",".293","sa738175"
"Mike Zunino","Mariners (AAA)","26","12","41","45","12","5","2","0","5","7","11","4","0","5","0","0","0","1","0","0",".293","13265"
