Date,Team,Opp,GS,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
<a href=wins.aspx?date=2015-08-23&team=Royals&dh=0>2015-08-23</a>,KCR,@BOS,1,0,0,6.75,1,1,0,0,0,0,0,6.2,28,9,6,5,0,0,0,1,0,0,5,47
<a href=wins.aspx?date=2015-08-18&team=Royals&dh=0>2015-08-18</a>,KCR,@CIN,1,0,0,1.50,1,1,0,0,0,0,0,6.0,24,4,1,1,1,3,1,0,0,0,7,58
<a href=wins.aspx?date=2015-08-12&team=Royals&dh=0>2015-08-12</a>,KCR,DET,1,0,1,6.43,1,1,0,0,0,0,0,7.0,30,8,6,5,0,2,0,0,0,0,5,47
<a href=wins.aspx?date=2015-08-07&team=Royals&dh=0>2015-08-07</a>,KCR,CHW,1,1,0,1.29,1,1,0,0,0,0,0,7.0,26,4,1,1,0,2,0,0,0,0,3,68
<a href=wins.aspx?date=2015-08-02&team=Royals&dh=0>2015-08-02</a>,KCR,@TOR,1,0,1,3.00,1,1,0,0,0,0,0,6.0,25,4,2,2,1,3,0,1,0,0,4,52
<a href=wins.aspx?date=2015-07-27&team=Royals&dh=0>2015-07-27</a>,KCR,@CLE,1,1,0,4.50,1,1,0,0,0,0,0,6.0,28,6,3,3,1,5,0,0,0,0,4,41
<a href=wins.aspx?date=2015-07-22&team=Royals&dh=0>2015-07-22</a>,KCR,PIT,1,1,0,1.17,1,1,0,0,0,0,0,7.2,31,8,1,1,0,1,0,0,0,0,8,71
<a href=wins.aspx?date=2015-07-17&team=Royals&dh=2>2015-07-17</a>,KCR,@CHW,1,0,1,2.84,1,1,0,0,0,0,0,6.1,27,8,2,2,0,2,0,0,1,0,3,53
<a href=wins.aspx?date=2015-07-12&team=Royals&dh=0>2015-07-12</a>,KCR,TOR,1,0,0,1.69,1,1,0,0,0,0,0,5.1,23,5,4,1,0,3,0,0,0,0,2,44
<a href=wins.aspx?date=2015-07-07&team=Royals&dh=2>2015-07-07</a>,KCR,TBR,1,0,0,1.80,1,1,0,0,0,0,0,5.0,23,5,1,1,1,3,0,0,0,0,5,48
<a href=wins.aspx?date=2015-07-01&team=Royals&dh=0>2015-07-01</a>,KCR,@HOU,1,0,0,9.00,1,1,0,0,0,0,0,5.0,24,8,5,5,2,1,0,1,0,0,8,31
<a href=wins.aspx?date=2015-06-26&team=Royals&dh=0>2015-06-26</a>,KCR,@OAK,1,1,0,1.29,1,1,0,0,0,0,0,7.0,25,3,1,1,0,1,0,0,0,0,3,72
<a href=wins.aspx?date=2015-06-20&team=Royals&dh=0>2015-06-20</a>,KCR,BOS,1,1,0,6.75,1,1,0,0,0,0,0,5.1,26,8,4,4,1,2,0,0,0,0,0,32
<a href=wins.aspx?date=2015-06-15&team=Royals&dh=0>2015-06-15</a>,KCR,@MIL,1,1,0,3.60,1,1,0,0,0,0,0,5.0,22,6,2,2,0,2,0,1,0,0,2,48
<a href=wins.aspx?date=2015-06-10&team=Royals&dh=0>2015-06-10</a>,KCR,@MIN,1,1,0,1.29,1,1,0,0,0,0,0,7.0,29,6,1,1,0,3,0,0,0,0,6,65
<a href=wins.aspx?date=2015-06-05&team=Royals&dh=0>2015-06-05</a>,KCR,TEX,1,0,1,6.75,1,1,0,0,0,0,0,5.1,26,6,4,4,1,3,0,0,0,0,6,40
<a href=wins.aspx?date=2015-05-29&team=Royals&dh=0>2015-05-29</a>,KCR,@CHC,1,0,0,4.76,1,1,0,0,0,0,0,5.2,24,6,3,3,1,1,0,0,0,0,9,52
<a href=wins.aspx?date=2015-05-23&team=Royals&dh=0>2015-05-23</a>,KCR,STL,1,1,0,3.00,1,1,1,0,0,0,0,6.0,25,4,2,2,0,3,0,1,0,0,1,55
<a href=wins.aspx?date=2015-05-17&team=Royals&dh=0>2015-05-17</a>,KCR,NYY,1,1,0,0.00,1,1,0,0,0,0,0,7.0,25,3,0,0,0,0,0,1,0,0,5,79
<a href=wins.aspx?date=2015-05-12&team=Royals&dh=0>2015-05-12</a>,KCR,@TEX,1,0,0,7.20,1,1,0,0,0,0,0,5.0,23,6,4,4,1,3,0,0,0,0,3,35
<a href=wins.aspx?date=2015-05-07&team=Royals&dh=0>2015-05-07</a>,KCR,CLE,1,0,0,9.00,1,1,0,0,0,0,0,3.0,17,2,3,3,0,6,0,0,0,0,3,34
<a href=wins.aspx?date=2015-05-02&team=Royals&dh=0>2015-05-02</a>,KCR,DET,1,0,1,3.00,1,1,0,0,0,0,0,6.0,26,5,2,2,0,3,0,0,1,0,4,56
<a href=wins.aspx?date=2015-04-26&team=Royals&dh=0>2015-04-26</a>,KCR,@CHW,1,0,1,1.59,1,1,0,0,0,0,0,5.2,25,5,5,1,0,2,0,0,1,0,6,49
<a href=wins.aspx?date=2015-04-20&team=Royals&dh=0>2015-04-20</a>,KCR,MIN,1,1,0,1.29,1,1,0,0,0,0,0,7.0,26,5,1,1,0,1,0,0,0,0,5,70
<a href=wins.aspx?date=2015-04-15&team=Royals&dh=0>2015-04-15</a>,KCR,@MIN,1,0,1,3.52,1,1,0,0,0,0,0,7.2,29,5,3,3,1,1,0,0,0,0,7,64
<a href=wins.aspx?date=2015-04-09&team=Royals&dh=0>2015-04-09</a>,KCR,CHW,1,1,0,1.13,1,1,0,0,0,0,0,8.0,29,4,1,1,0,1,0,1,0,0,5,78
<a href=wins.aspx?date=2014-09-25&team=Pirates&dh=0>2014-09-25</a>,PIT,@ATL,1,1,0,0.00,1,1,0,0,0,0,0,7.0,26,4,0,0,0,1,0,0,0,0,10,78
<a href=wins.aspx?date=2014-09-20&team=Pirates&dh=0>2014-09-20</a>,PIT,MIL,1,0,0,0.00,1,1,0,0,0,0,0,7.0,27,3,0,0,0,3,0,0,0,0,6,72
<a href=wins.aspx?date=2014-09-14&team=Pirates&dh=0>2014-09-14</a>,PIT,CHC,1,1,0,1.29,1,1,0,0,0,0,0,7.0,27,4,3,1,0,5,0,0,0,0,5,56
<a href=wins.aspx?date=2014-09-09&team=Pirates&dh=0>2014-09-09</a>,PIT,@PHI,1,0,0,4.50,1,1,0,0,0,0,0,6.0,25,6,3,3,1,2,0,1,0,0,5,46
<a href=wins.aspx?date=2014-09-03&team=Pirates&dh=0>2014-09-03</a>,PIT,@STL,1,0,0,0.00,1,1,0,0,0,0,0,6.1,26,3,0,0,0,2,0,2,0,0,5,69
<a href=wins.aspx?date=2014-08-29&team=Pirates&dh=0>2014-08-29</a>,PIT,CIN,1,0,0,1.17,1,1,0,0,0,0,0,7.2,30,3,1,1,0,3,0,2,0,0,6,73
<a href=wins.aspx?date=2014-08-23&team=Pirates&dh=0>2014-08-23</a>,PIT,@MIL,1,1,0,3.18,1,1,0,0,0,0,0,5.2,30,11,2,2,1,2,0,1,0,0,3,35
<a href=wins.aspx?date=2014-08-17&team=Pirates&dh=0>2014-08-17</a>,PIT,@WSN,1,0,0,1.42,1,1,0,0,0,0,0,6.1,28,6,4,1,0,2,0,1,2,0,5,51
<a href=wins.aspx?date=2014-08-12&team=Pirates&dh=0>2014-08-12</a>,PIT,DET,1,1,0,3.00,1,1,0,0,0,0,0,6.0,26,5,2,2,1,2,0,0,0,0,5,51
<a href=wins.aspx?date=2014-08-07&team=Pirates&dh=0>2014-08-07</a>,PIT,MIA,1,1,0,0.00,1,1,0,0,0,0,0,7.0,23,1,0,0,0,3,0,0,0,0,7,77
<a href=wins.aspx?date=2014-08-01&team=Pirates&dh=0>2014-08-01</a>,PIT,@ARI,1,0,0,4.76,1,1,0,0,0,0,0,5.2,26,7,4,3,1,2,0,1,1,0,5,39
<a href=wins.aspx?date=2014-07-27&team=Pirates&dh=0>2014-07-27</a>,PIT,@COL,1,0,0,4.15,1,1,0,0,0,0,0,4.1,24,6,4,2,1,4,1,0,2,0,2,26
<a href=wins.aspx?date=2014-07-21&team=Pirates&dh=0>2014-07-21</a>,PIT,LAD,1,0,1,7.94,1,1,0,0,0,0,0,5.2,30,10,5,5,0,3,1,1,1,0,3,32
<a href=wins.aspx?date=2014-07-10&team=Pirates&dh=0>2014-07-10</a>,PIT,@STL,1,1,0,1.00,1,1,1,0,0,0,0,9.0,32,6,1,1,0,2,0,1,0,0,5,76
<a href=wins.aspx?date=2014-07-05&team=Pirates&dh=0>2014-07-05</a>,PIT,PHI,1,1,0,1.29,1,1,0,0,0,0,0,7.0,28,4,1,1,1,4,0,0,0,0,5,58
<a href=wins.aspx?date=2014-06-29&team=Pirates&dh=0>2014-06-29</a>,PIT,NYM,1,1,0,0.00,1,1,0,0,0,0,0,6.0,26,8,0,0,0,1,1,0,0,0,7,61
<a href=wins.aspx?date=2014-06-23&team=Pirates&dh=0>2014-06-23</a>,PIT,@TBR,1,1,0,1.13,1,1,0,0,0,0,0,8.0,28,5,1,1,0,2,0,0,0,0,1,68
<a href=wins.aspx?date=2014-06-18&team=Pirates&dh=0>2014-06-18</a>,PIT,CIN,1,0,1,30.86,1,1,0,0,0,0,0,2.1,17,6,8,8,0,3,0,1,2,0,2,10
<a href=wins.aspx?date=2014-06-12&team=Pirates&dh=0>2014-06-12</a>,PIT,CHC,1,1,0,0.00,1,1,0,0,0,0,0,7.0,29,7,0,0,0,2,0,0,0,0,5,65
<a href=wins.aspx?date=2014-06-07&team=Pirates&dh=0>2014-06-07</a>,PIT,MIL,1,0,1,4.50,1,1,0,0,0,0,0,6.0,27,4,4,3,0,2,2,1,1,0,4,52
<a href=wins.aspx?date=2014-06-01&team=Pirates&dh=0>2014-06-01</a>,PIT,@LAD,1,1,0,3.60,1,1,0,0,0,0,0,5.0,21,5,2,2,1,1,0,0,0,0,6,48
<a href=wins.aspx?date=2014-05-27&team=Pirates&dh=0>2014-05-27</a>,PIT,@NYM,1,0,0,3.60,1,1,0,0,0,0,0,5.0,25,4,2,2,0,5,0,0,2,0,6,48
<a href=wins.aspx?date=2014-05-22&team=Pirates&dh=0>2014-05-22</a>,PIT,WSN,1,1,0,1.50,1,1,0,0,0,0,0,6.0,24,3,1,1,1,2,0,0,0,0,4,57
<a href=wins.aspx?date=2014-05-17&team=Pirates&dh=0>2014-05-17</a>,PIT,@NYY,1,0,1,7.11,1,1,0,0,0,0,0,6.1,24,6,5,5,4,0,0,0,0,0,3,26
<a href=wins.aspx?date=2014-05-10&team=Pirates&dh=0>2014-05-10</a>,PIT,STL,1,0,0,5.79,1,1,0,0,0,0,0,4.2,22,4,3,3,0,4,0,1,2,0,4,43
<a href=wins.aspx?date=2014-05-04&team=Pirates&dh=0>2014-05-04</a>,PIT,TOR,1,0,1,10.80,1,1,0,0,0,0,0,5.0,24,7,6,6,2,3,0,0,0,0,3,19
<a href=wins.aspx?date=2014-04-27&team=Pirates&dh=0>2014-04-27</a>,PIT,@STL,1,0,1,9.53,1,1,0,0,0,0,0,5.2,25,7,6,6,2,1,0,0,0,0,2,26
<a href=wins.aspx?date=2014-04-22&team=Pirates&dh=0>2014-04-22</a>,PIT,CIN,1,0,1,2.57,1,1,0,0,0,0,0,7.0,27,5,2,2,0,1,0,1,0,0,3,63
<a href=wins.aspx?date=2014-04-17&team=Pirates&dh=0>2014-04-17</a>,PIT,MIL,1,1,0,2.57,1,1,0,0,0,0,0,7.0,28,8,2,2,0,1,0,0,1,0,3,57
<a href=wins.aspx?date=2014-04-12&team=Pirates&dh=0>2014-04-12</a>,PIT,@MIL,1,0,0,1.42,1,1,0,0,0,0,0,6.1,26,4,2,1,1,2,0,0,1,0,4,54
<a href=wins.aspx?date=2014-04-06&team=Pirates&dh=0>2014-04-06</a>,PIT,STL,1,0,0,1.59,1,1,0,0,0,0,0,5.2,21,3,1,1,0,1,1,0,0,0,4,63
<a href=wins.aspx?date=2014-04-03&team=Pirates&dh=0>2014-04-03</a>,PIT,CHC,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,2,
<a href=wins.aspx?date=2013-09-26&team=Dodgers&dh=0>2013-09-26</a>,LAD,@SFG,1,0,0,3.60,1,1,0,0,0,0,0,5.0,21,4,2,2,0,3,0,0,1,0,4,51
<a href=wins.aspx?date=2013-09-20&team=Dodgers&dh=0>2013-09-20</a>,LAD,@SDP,1,0,1,1.42,1,1,0,0,0,0,0,6.1,29,5,2,1,1,4,0,0,0,0,6,51
<a href=wins.aspx?date=2013-09-15&team=Dodgers&dh=0>2013-09-15</a>,LAD,SFG,1,0,0,4.76,1,1,0,0,0,0,0,5.2,22,5,3,3,2,0,0,0,1,0,7,47
<a href=wins.aspx?date=2013-09-10&team=Dodgers&dh=0>2013-09-10</a>,LAD,ARI,1,0,0,4.50,1,1,0,0,0,0,0,6.0,23,4,3,3,1,1,0,0,2,0,5,53
<a href=wins.aspx?date=2013-09-04&team=Dodgers&dh=0>2013-09-04</a>,LAD,@COL,1,0,1,9.00,1,1,0,0,0,0,0,4.0,19,6,4,4,1,0,0,0,1,0,4,35
<a href=wins.aspx?date=2013-08-30&team=Dodgers&dh=0>2013-08-30</a>,LAD,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
<a href=wins.aspx?date=2013-08-23&team=Padres&dh=0>2013-08-23</a>,SDP,CHC,1,0,0,67.50,1,1,0,0,0,0,0,0.2,11,5,6,5,1,2,0,1,0,0,0,3
<a href=wins.aspx?date=2013-08-17&team=Padres&dh=0>2013-08-17</a>,SDP,NYM,1,1,0,3.60,1,1,0,0,0,0,0,5.0,24,7,2,2,0,2,0,0,0,0,5,48
<a href=wins.aspx?date=2013-08-12&team=Padres&dh=0>2013-08-12</a>,SDP,@COL,1,0,1,16.62,1,1,0,0,0,0,0,4.1,26,9,8,8,1,3,0,0,1,0,2,11
<a href=wins.aspx?date=2013-08-06&team=Padres&dh=0>2013-08-06</a>,SDP,BAL,1,0,1,3.00,1,1,0,0,0,0,0,6.0,25,6,2,2,1,2,0,0,0,0,6,51
<a href=wins.aspx?date=2013-07-30&team=Padres&dh=0>2013-07-30</a>,SDP,CIN,1,0,0,2.84,1,1,0,0,0,0,0,6.1,27,4,2,2,0,5,0,0,0,0,3,54
<a href=wins.aspx?date=2013-07-25&team=Padres&dh=0>2013-07-25</a>,SDP,@MIL,1,1,0,5.06,1,1,0,0,0,0,0,5.1,25,6,3,3,2,3,0,0,0,0,5,35
<a href=wins.aspx?date=2013-07-20&team=Padres&dh=0>2013-07-20</a>,SDP,@STL,1,1,0,5.40,1,1,0,0,0,0,0,5.0,20,4,3,3,0,1,0,0,2,0,1,49
<a href=wins.aspx?date=2013-07-13&team=Padres&dh=0>2013-07-13</a>,SDP,SFG,1,0,1,14.40,1,1,0,0,0,0,0,5.0,25,9,8,8,1,1,0,0,0,0,6,23
<a href=wins.aspx?date=2013-07-08&team=Padres&dh=0>2013-07-08</a>,SDP,COL,1,0,1,6.75,1,1,0,0,0,0,0,5.1,27,8,4,4,0,4,0,0,1,0,3,36
<a href=wins.aspx?date=2013-07-03&team=Padres&dh=0>2013-07-03</a>,SDP,@BOS,1,0,0,1.50,1,1,0,0,0,0,0,6.0,26,7,1,1,0,1,1,1,0,0,6,60
<a href=wins.aspx?date=2013-06-28&team=Padres&dh=0>2013-06-28</a>,SDP,@MIA,1,1,0,3.00,1,1,0,0,0,0,0,6.0,26,7,2,2,0,1,0,0,0,0,8,59
<a href=wins.aspx?date=2013-06-22&team=Padres&dh=0>2013-06-22</a>,SDP,LAD,1,0,1,3.18,1,1,0,0,0,0,0,5.2,27,2,5,2,1,7,0,0,0,0,7,39
<a href=wins.aspx?date=2013-06-17&team=Padres&dh=0>2013-06-17</a>,SDP,@SFG,1,0,0,5.40,1,1,0,0,0,0,0,5.0,21,6,3,3,0,1,0,0,0,0,6,50
<a href=wins.aspx?date=2013-06-12&team=Padres&dh=0>2013-06-12</a>,SDP,ATL,1,1,0,1.29,1,1,0,0,0,0,0,7.0,28,6,1,1,0,3,0,0,0,0,9,67
<a href=wins.aspx?date=2013-06-07&team=Padres&dh=0>2013-06-07</a>,SDP,@COL,1,0,0,34.71,1,1,0,0,0,0,0,2.1,21,11,9,9,0,2,0,1,0,0,1,-1
<a href=wins.aspx?date=2013-06-02&team=Padres&dh=0>2013-06-02</a>,SDP,TOR,1,0,0,7.20,1,1,0,0,0,0,0,5.0,23,6,4,4,1,3,0,0,1,0,7,38
<a href=wins.aspx?date=2013-05-28&team=Padres&dh=0>2013-05-28</a>,SDP,@SEA,1,1,0,1.17,1,1,0,0,0,0,0,7.2,29,4,1,1,0,3,0,0,0,0,5,71
