"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","game_pk","at_bat_number","pitch_number"
"FF","2017-06-09","94.3","-2.6370","6.0222","Tanner Roark",608577,543699,"strikeout","called_strike",,,,,"3","Nomar Mazara called out on strikes.  ","R","L","R","WSH","TEX","S","null","null",2,2,2017,"-0.0269","1.7487","0.7243","3.2231","null","null","425783.00",1,5,"Top","null","null",,,446308,,"170610_002246",,,,,,,"3.4121","1.7356","null","null","null","94.3470","2107","6.3830",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.1139","0.000","0.000","0.00",1,0,0,"null",491018,37,"5"
"SL","2017-06-09","86.4","-2.9374","5.9824","Tanner Roark",608577,543699,"null","foul",,,,,"6","null","R","L","R","WSH","TEX","S","null","null",2,1,2017,"-0.2741","0.8191","0.5180","2.5207","null","null","425783.00",1,5,"Top","null","null",,,446308,,"170610_002218",,,,,,,"3.1674","1.3593","null","null","null","86.3080","2287","6.1980",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.2988","0.000","0.000","null","null","null","null","null",491018,37,"4"
"FT","2017-06-09","92.3","-3.0040","5.8895","Tanner Roark",608577,543699,"null","foul",,,,,"11","null","R","L","R","WSH","TEX","S","null","null",2,0,2017,"0.8374","1.0251","-1.0390","3.4842","null","null","425783.00",1,5,"Top","null","null",,,446308,,"170610_002148",,,,,,,"3.1674","1.3593","null","null","null","93.3690","1899","6.7330",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"53.7643","0.000","0.000","null","null","null","null","null",491018,37,"3"
"FT","2017-06-09","92.9","-3.0381","5.9606","Tanner Roark",608577,543699,"null","ball",,,,,"11","null","R","L","R","WSH","TEX","B","null","null",1,0,2017,"0.9130","1.0640","-1.7146","2.8901","null","null","425783.00",1,5,"Top","null","null",,,446308,,"170610_002050",,,,,,,"3.4728","1.7235","null","null","null","93.2560","1971","6.4200",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.0774","0.000","0.000","null","null","null","null","null",491018,37,"2"
"FT","2017-06-09","92.6","-3.1086","5.9320","Tanner Roark",608577,543699,"null","ball",,,,,"11","null","R","L","R","WSH","TEX","B","null","null",0,0,2017,"0.8831","1.0990","-0.8375","3.8768","null","null","425783.00",1,5,"Top","null","null",,,446308,,"170610_002024",,,,,,,"3.3878","1.5657","null","null","null","91.8480","2006","5.8460",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.6512","0.000","0.000","null","null","null","null","null",491018,37,"1"
"FT","2017-06-09","94.2","-2.5591","6.0876","Tanner Roark",462101,543699,"field_out","hit_into_play",,,,,"11","Elvis Andrus pops out softly to shortstop Trea Turner.  ","R","R","R","WSH","TEX","X","6","popup",0,2,2017,"0.6663","1.3264","-0.5484","3.7087","null","null","425783.00",0,5,"Top","135.47","132.47",,,446308,,"170610_001909",,,,,,,"3.0568","1.2286","173","56.6","40.5160","93.6420","2000","6.0280",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.4695","0.164","0.151","0.00",1,0,0,1,491018,36,"5"
"FT","2017-06-09","92.9","-2.7805","6.0036","Tanner Roark",462101,543699,"null","foul",,,,,"4","null","R","R","R","WSH","TEX","S","null","null",0,2,2017,"0.8784","1.5734","-0.4258","2.0949","null","null","425783.00",0,5,"Top","null","null",,,446308,,"170610_001841",,,,,,,"3.0568","1.2286","null","null","null","92.8030","2076","6.3660",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.1313","0.000","0.000","null","null","null","null","null",491018,36,"4"
"FT","2017-06-09","92.1","-2.7765","6.0736","Tanner Roark",462101,543699,"null","foul",,,,,"11","null","R","R","R","WSH","TEX","S","null","null",0,2,2017,"0.6905","1.3486","-0.4799","3.5045","null","null","425783.00",0,5,"Top","null","null",,,446308,,"170610_001812",,,,,,,"3.0568","1.2286","null","null","null","91.4330","2100","6.0620",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.4346","0.000","0.000","null","null","null","null","null",491018,36,"3"
"SL","2017-06-09","84.8","-2.8314","6.0554","Tanner Roark",462101,543699,"null","called_strike",,,,,"8","null","R","R","R","WSH","TEX","S","null","null",0,1,2017,"-0.5673","0.6565","0.2109","2.0515","null","null","425783.00",0,5,"Top","null","null",,,446308,,"170610_001720",,,,,,,"3.3923","1.5442","null","null","null","84.2300","2338","5.8680",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.6291","0.000","0.000","null","null","null","null","null",491018,36,"2"
"FT","2017-06-09","93.3","-2.8237","6.0296","Tanner Roark",462101,543699,"null","called_strike",,,,,"2","null","R","R","R","WSH","TEX","S","null","null",0,0,2017,"1.0186","1.3860","0.2500","2.9589","null","null","425783.00",0,5,"Top","null","null",,,446308,,"170610_001655",,,,,,,"3.5621","1.6171","null","null","null","92.5690","2224","6.0450",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.4518","0.000","0.000","null","null","null","null","null",491018,36,"1"
