"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","game_pk","at_bat_number","pitch_number"
"FF","2017-05-14","84.8","-2.6502","6.2668","Jered Weaver",571602,450308,"single","hit_into_play",,,,,"4","Matt Davidson singles on a fly ball to right fielder Hunter Renfroe.  Matt Davidson out at 2nd, right fielder Hunter Renfroe to shortstop Luis Sardinas.  ","R","R","R","CWS","SD","X","null","fly_ball",1,0,2017,"1.1367","1.8560","-0.3775","2.9989","null","null","null",0,2,"Bot","196.10","124.53",,,620443,,"170514_183850",,,,,,,"3.8644","1.6005","243","79.9","35.0521","null","2246","5.8384",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.6608","0.025","0.030","0.90",1,1,0,3,490666,13,"2"
"SL","2017-05-14","79.8","-2.9453","6.0847","Jered Weaver",453943,450308,"field_out","hit_into_play",,,,,"9","Todd Frazier grounds out, shortstop Luis Sardinas to first baseman Wil Myers.  ","R","R","R","CWS","SD","X","6","ground_ball",0,0,2017,"0.1223","1.2483","0.3746","2.0040","570560.00","null","null",2,1,"Bot","110.67","156.01",,,620443,,"170514_182746",,,,,,,"3.8644","1.6005","null","83.0","-21.0000","null","2425","5.8575",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.6417","0.075","0.069","0.00",1,0,0,2,490666,8,"1"
"SL","2017-05-14","80.1","-2.7409","6.0809","Jered Weaver",541645,450308,"grounded_into_double_play","hit_into_play_score",,,,,"14","Avisail Garcia grounds into a double play, shortstop Luis Sardinas to second baseman Yangervis Solarte to first baseman Wil Myers.   Leury Garcia scores.    Yolmer Sanchez to 3rd.    Jose Abreu out at 2nd.  ","R","R","R","CWS","SD","X","6","ground_ball",1,0,2017,"0.2120","0.8084","0.3037","1.3251","544725.00","570560.00","547989.00",0,1,"Bot","114.92","159.04",,,620443,,"170514_182652",,,,,,,"3.5894","1.7195","11","76.2","-8.8362","null","2319","5.9867",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.5125","0.086","0.081","0.00",1,0,0,2,490666,7,"2"
"FT","2017-05-14","83.1","-2.6535","6.1886","Jered Weaver",570560,450308,"single","hit_into_play_no_out",,,,,"1","Yolmer Sanchez singles on a bunt ground ball to third baseman Cory Spangenberg.   Leury Garcia to 3rd.  ","R","L","R","CWS","SD","X","null","ground_ball",1,1,2017,"1.0942","1.3882","-0.7708","2.8907","null","544725.00","null",0,1,"Bot","119.77","193.61",,,620443,,"170514_182321",,,,,,,"3.2694","1.5295","null","40.0","-36.0000","null","2001","6.0385",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.4607","0.219","0.203","0.90",1,1,0,1,490666,5,"3"
"FT","2017-05-14","83.5","-2.7168","6.2625","Jered Weaver",544725,450308,"single","hit_into_play_no_out",,,,,"7","Leury Garcia singles on a line drive to right fielder Hunter Renfroe.  ","R","L","R","CWS","SD","X","null","line_drive",1,0,2017,"1.1630","1.4511","-0.5313","1.8131","null","null","null",0,1,"Bot","148.35","125.70",,,620443,,"170514_182123",,,,,,,"3.3194","1.5195","187","75.6","15.5113","null","1970","6.2363",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.2629","0.863","0.797","0.90",1,1,0,4,490666,4,"2"
"CU","2017-05-09","69.9","-3.3961","5.9659","Jered Weaver",608336,450308,"home_run","hit_into_play_score",,,,,"1","Joey Gallo homers (11) on a fly ball to right center field.    Rougned Odor scores.  ","R","L","R","SD","TEX","X","null","fly_ball",3,2,2017,"-0.3194","0.6521","-0.3205","3.5632","null","null","596059.00",2,3,"Top","217.04","77.28",,,595978,,"170509_202703",,,,,,,"3.6501","1.6501","358","103.1","41.9550","68.1520","null","5.5140",490596,450308,595978,571976,500208,572114,642707,605486,622534,592669,"54.9844","0.233","0.443","2.00",1,0,3,5,490596,22,"6"
"FT","2017-05-09","82.6","-3.4239","6.0753","Jered Weaver",607387,450308,"field_out","hit_into_play",,,,,"11","Ryan Rua flies out to left fielder Cory Spangenberg.  ","R","R","R","SD","TEX","X","7","fly_ball",0,1,2017,"1.5180","1.1562","-0.9033","2.7453","null","null","596059.00",1,3,"Top","93.05","80.73",,,595978,,"170509_202429",,,,,,,"3.6941","1.5131","293","79.2","41.6290","81.6850","2007","5.9520",490596,450308,595978,571976,500208,572114,642707,605486,622534,592669,"54.5463","0.019","0.023","0.00",1,0,0,3,490596,21,"2"
"CH","2017-05-09","75.9","-3.7145","5.8361","Jered Weaver",596059,450308,"single","hit_into_play_no_out",,,,,"7","Rougned Odor singles on a line drive to right fielder Hunter Renfroe.  ","R","L","R","SD","TEX","X","null","line_drive",1,1,2017,"1.3719","0.8908","-0.8242","1.7935","null","null","null",1,3,"Top","177.33","99.52",,,595978,,"170509_202317",,,,,,,"3.0601","1.3301","null","90.4","14.6000","76.0750","1706","6.2300",490596,450308,595978,571976,500208,572114,642707,605486,622534,592669,"54.2690","0.812","0.785","0.90",1,1,0,4,490596,20,"3"
"CU","2017-05-09","71.4","-3.5252","6.0588","Jered Weaver",460576,450308,"field_out","hit_into_play",,,,,"14","Carlos Gomez grounds out softly, pitcher Jered Weaver to first baseman Wil Myers.  ","R","R","R","SD","TEX","X","1","ground_ball",2,2,2017,"-0.6095","0.1711","0.9235","1.6544","null","null","null",0,3,"Top","133.83","187.01",,,"null",,"170509_202156",,,,,,,"3.8651","1.6011","null","83.0","-21.0000","null","2575","5.4677",490596,"null","null","null","null","null","null","null","null","null","55.0314","0.075","0.069","0.00",1,0,0,2,490596,19,"6"
"CH","2017-05-09","77.4","-3.4792","5.9247","Jered Weaver",425783,450308,"double_play","hit_into_play",,,,,"8","Shin-Soo Choo lines into an unassisted double play, first baseman Wil Myers.   A.  J.   Griffin doubled off 1st.  ","R","L","R","SD","TEX","X","3","line_drive",1,1,2017,"1.6446","1.3988","-0.2044","1.7779","null","null","456167.00",0,2,"Top","156.65","171.82",,,595978,,"170509_200714",,,,,,,"3.9851","1.6401","118","97.9","7.1850","76.3380","1876","5.8330",490596,450308,595978,571976,500208,572114,642707,605486,622534,592669,"54.6658","0.654","0.617","0.00",1,0,0,4,490596,13,"3"
