Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,playerid
Santiago Casilla,Giants,2,5,3.57,62,0,0,0,31,3,9,58.0,241,50,23,23,8,19,2,5,4,2,65,2873
Tyler Clippard,- - -,4,6,3.57,69,0,0,0,3,25,3,63.0,262,54,27,25,10,26,2,1,5,3,72,5640
Ryan Madson,Athletics,6,7,3.62,63,0,0,0,30,3,7,64.2,270,63,27,26,7,20,3,2,4,1,49,1852
A.J. Schugel,Pirates,2,2,3.63,36,0,0,0,1,3,1,52.0,204,41,22,21,4,13,0,1,2,0,46,11432
Ryan Pressly,Twins,6,7,3.70,72,0,0,0,1,13,5,75.1,328,79,34,31,8,23,2,2,7,0,67,7005
Nick Vincent,Mariners,4,4,3.73,60,0,0,0,3,17,6,60.1,247,53,26,25,11,15,5,1,0,0,65,7555
Liam Hendriks,Athletics,0,4,3.76,53,0,0,0,0,10,1,64.2,275,69,31,27,6,14,3,1,3,0,71,3548
David Hernandez,Phillies,3,4,3.84,70,0,0,0,1,15,2,72.2,322,77,31,31,11,32,5,2,6,0,80,4259
Juan Nicasio,Pirates,5,2,3.88,40,0,0,0,0,6,2,55.2,242,54,27,24,4,20,2,5,1,0,75,7731
Fernando Salas,- - -,3,7,3.91,75,0,0,0,6,20,5,73.2,293,63,32,32,12,19,1,0,1,0,64,4971
Kevin Quackenbush,Padres,7,7,3.92,60,0,0,0,2,9,1,59.2,253,55,27,26,8,22,2,0,2,0,42,12360
Blaine Boyer,Brewers,2,4,3.95,61,0,0,0,1,5,2,66.0,282,80,30,29,4,17,3,1,0,0,26,2237
Taylor Rogers,Twins,3,1,3.96,57,0,0,0,0,9,0,61.1,264,63,29,27,7,16,3,5,1,0,64,13449
John Axford,Athletics,6,4,3.97,68,0,0,0,3,15,7,65.2,289,65,30,29,6,30,1,3,4,0,60,9059
Blake Wood,Reds,6,5,3.99,70,0,0,0,1,15,5,76.2,330,72,38,34,9,38,3,2,8,0,81,1345
Erasmo Ramirez,Rays,6,11,4.02,63,0,0,0,2,15,4,85.0,358,87,39,38,14,26,5,3,7,0,59,10314
Joakim Soria,Royals,5,8,4.05,70,0,0,0,1,20,7,66.2,293,70,31,30,10,27,0,2,2,3,68,6941
Matt Barnes,Red Sox,4,3,4.05,62,0,0,0,1,16,1,66.2,287,62,32,30,6,31,1,3,4,0,71,12863
J.P. Howell,Dodgers,1,1,4.09,64,0,0,0,0,2,0,50.2,220,56,23,23,4,15,2,3,3,0,44,8245
Felipe Rivero,- - -,1,6,4.09,75,0,0,0,1,26,3,77.0,327,66,39,35,7,33,3,6,3,0,92,12076
Justin Grimm,Cubs,2,1,4.10,68,0,0,0,0,10,0,52.2,225,47,24,24,5,23,2,1,7,0,65,11720
Ken Giles,Astros,2,5,4.11,69,0,0,0,15,18,5,65.2,286,60,32,30,8,25,1,2,14,0,102,12910
Jason Grilli,- - -,7,6,4.12,67,0,0,0,4,23,4,59.0,251,44,28,27,10,32,1,2,2,0,81,521
Scott Feldman,- - -,6,2,4.13,35,0,0,0,0,0,1,52.1,223,58,26,24,7,8,1,3,0,0,41,6283
Justin Wilson,Tigers,4,5,4.14,66,0,0,0,1,25,5,58.2,251,61,29,27,6,17,2,1,4,0,65,4301
Tony Cingrani,Reds,2,5,4.14,65,0,0,0,17,8,6,63.0,271,54,30,29,5,37,1,3,3,1,49,12555
Junichi Tazawa,Red Sox,3,2,4.17,53,0,0,0,0,16,2,49.2,208,47,23,23,9,14,1,1,4,0,54,4079
Chien-Ming Wang,Royals,6,0,4.22,38,0,0,0,0,0,0,53.1,231,60,27,25,6,18,0,2,1,0,30,2074
Jonathan Broxton,Cardinals,4,2,4.30,66,0,0,0,0,12,3,60.2,259,52,32,29,7,24,5,3,1,0,57,4759
JC Ramirez,- - -,3,4,4.35,70,0,0,0,2,13,4,78.2,335,77,41,38,12,22,2,4,7,0,59,8302
Mike Morin,Angels,2,2,4.37,60,0,0,0,0,12,1,55.2,227,52,31,27,6,15,1,1,1,1,49,13442
Michael Feliz,Astros,8,1,4.43,47,0,0,0,0,5,3,65.0,270,55,33,32,10,22,0,0,6,0,95,11903
Jesse Chavez,- - -,2,2,4.43,62,0,0,0,0,10,3,67.0,282,71,36,33,12,18,3,2,1,0,63,5448
Randall Delgado,Diamondbacks,5,2,4.44,79,0,0,0,0,7,3,75.0,337,77,39,37,8,36,3,2,7,0,68,5985
Yusmeiro Petit,Nationals,3,4,4.50,35,0,0,0,1,1,1,56.0,242,62,30,28,10,14,3,0,3,1,44,4020
Brandon Maurer,Padres,0,5,4.52,71,0,0,0,13,13,6,69.2,300,65,37,35,7,23,5,2,3,0,72,4878
Antonio Bastardo,- - -,3,0,4.52,69,0,0,0,0,15,2,67.2,297,60,37,34,11,32,3,4,6,4,74,8844
Ross Ohlendorf,Reds,5,7,4.66,64,0,0,0,2,3,3,65.2,290,59,35,34,14,32,1,6,4,0,68,8268
Jeanmar Gomez,Phillies,3,5,4.85,70,0,0,0,37,1,6,68.2,297,78,38,37,6,22,2,2,3,0,47,9033
Josh Smith,Reds,3,1,4.88,30,0,0,0,0,1,0,51.2,227,51,29,28,10,23,1,1,1,0,44,10946
Adam Warren,- - -,7,4,4.92,57,0,0,0,0,12,3,60.1,259,56,36,33,10,29,6,1,3,0,46,9029
Michael Tonkin,Twins,3,2,5.02,65,0,0,0,0,2,2,71.2,315,80,46,40,13,24,0,3,5,0,80,10315
Daniel Hudson,Diamondbacks,3,2,5.22,70,0,0,0,5,17,2,60.1,268,65,40,35,6,22,3,4,5,0,58,7146
Drew Storen,- - -,4,3,5.23,57,0,0,0,3,10,1,51.2,228,56,30,30,7,13,1,7,0,1,48,6983
Carlos Estevez,Rockies,3,7,5.24,63,0,0,0,11,11,7,55.0,246,50,32,32,6,28,4,5,3,0,59,14542
Brett Oberholtzer,- - -,3,2,5.43,35,0,0,0,1,0,0,66.1,299,79,41,40,17,24,1,1,1,0,49,3855
Carlos Villanueva,Padres,2,2,5.96,51,0,0,0,1,4,1,74.0,321,89,50,49,17,14,4,3,2,0,61,4138
Kevin Jepsen,- - -,2,6,5.98,58,0,0,0,7,5,4,49.2,224,62,35,33,12,21,2,0,4,0,35,6475
Matt Albers,White Sox,2,6,6.57,57,0,0,0,0,13,4,49.1,230,66,43,36,10,19,1,3,4,0,29,4300
Mark Lowe,Tigers,1,3,7.11,54,0,0,0,0,8,1,49.1,224,57,41,39,12,21,2,1,2,0,49,7416
