"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Travis d'Arnaud","Mets","56","174","190","39","21","8","1","9","23","30","14","2","34","1","1","0","8","0","0",".224","7739"
"Chris Iannetta","Diamondbacks","43","134","150","30","11","11","0","8","18","23","13","0","48","3","0","0","2","0","0",".224","8267"
"Drew Butera","Royals","34","72","75","16","11","2","1","2","7","7","2","0","12","0","0","1","0","0","0",".222","3411"
"Cameron Rupp","Phillies","52","176","201","39","24","9","0","6","21","15","23","2","68","1","1","0","2","1","0",".222","11146"
"Robinson Chirinos","Rangers","40","123","139","27","12","3","0","12","25","25","12","0","40","4","0","0","3","1","0",".220","3142"
"Yan Gomes","Indians","62","196","224","43","26","12","0","5","21","21","22","0","56","4","1","1","7","0","0",".219","9627"
"Austin Hedges","Padres","76","243","260","53","31","9","0","13","24","41","13","1","77","1","2","1","4","1","1",".218","12976"
"Jason Castro","Twins","64","217","248","47","28","13","0","6","23","28","29","0","68","2","0","0","6","0","0",".217","8722"
"A.J. Ellis","Marlins","22","66","74","14","13","0","0","1","7","4","5","0","15","2","0","1","4","0","0",".212","5677"
"Jett Bandy","Brewers","43","142","157","30","18","6","0","6","14","18","12","0","41","3","0","0","4","1","0",".211","12508"
"Dustin Garneau","Rockies","22","68","74","14","6","7","0","1","5","6","4","0","24","1","0","1","1","0","0",".206","9433"
"Chris Gimenez","Twins","41","104","127","21","12","4","0","5","13","11","19","0","34","2","0","2","2","1","0",".202","7324"
"Derek Norris","Rays","53","179","198","36","22","5","0","9","21","24","12","0","48","3","4","0","5","1","0",".201","6867"
"Josh Phegley","Athletics","43","115","121","23","12","8","0","3","10","7","4","0","20","2","0","0","4","0","1",".200","9308"
"James McCann","Tigers","49","151","175","30","16","5","0","9","18","25","16","0","45","4","3","1","2","0","0",".199","12859"
"Luis Torrens","Padres","35","76","84","15","12","3","0","0","4","2","6","0","18","1","0","1","2","0","0",".197","15905"
"Jeff Mathis","Diamondbacks","43","133","141","25","14","7","2","2","7","9","6","1","40","1","0","1","5","1","0",".188","3448"
"Chris Stewart","Pirates","25","67","73","12","9","1","2","0","4","2","4","1","13","1","0","1","3","0","0",".179","3878"
"Chris Herrmann","Diamondbacks","68","146","165","26","13","6","0","7","19","21","18","0","42","0","1","0","1","1","0",".178","9284"
"Roberto Perez","Indians","34","107","121","19","13","5","0","1","12","15","13","0","33","0","1","0","2","0","1",".178","2900"
"Eric Fryer","Cardinals","32","66","77","10","7","3","0","0","6","3","10","0","17","1","0","0","3","0","0",".152","8145"
"Jose Lobaton","Nationals","26","81","89","11","7","2","0","2","8","3","7","0","20","0","1","0","2","0","0",".136","4243"
"Luke Maile","Blue Jays","33","99","104","12","8","2","0","2","6","5","3","0","24","1","1","0","2","1","0",".121","13355"
