Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,playerid
Jay Bruce,- - -,RF,133,131,1140.0,251,5,4,2,2,0,0,0,0,,,,,,.985,,9892
Brett Gardner,NYY,LF,122,116,1024.0,205,10,0,0,0,0,1,0,0,,,,,,1.000,,9927
Wil Myers,SDP,1B,154,153,1333.0,1295,72,8,5,3,140,15,0,144,27,,,,,.994,,10047
Mike Trout,LAA,CF,108,108,948.0,253,5,1,1,0,0,0,0,0,,,,,,.996,,10155
Billy Hamilton,CIN,CF,137,135,1175.1,301,13,3,2,1,0,4,0,0,,,,,,.991,,10199
Tucker Barnhart,CIN,C,110,105,926.1,863,89,1,0,1,1,8,0,1,,41,32,4,42,.999,,10200
Jose Iglesias,DET,SS,130,128,1116.1,199,332,7,1,6,78,34,42,7,,,,,,.987,,10231
Marcell Ozuna,MIA,LF,152,151,1335.0,305,10,5,5,0,0,0,0,0,,,,,,.984,,10324
Domingo Santana,MIL,RF,144,138,1211.1,224,4,5,4,1,0,1,0,0,,,,,,.979,,10348
Tommy Joseph,PHI,1B,130,125,1047.2,948,58,8,3,5,87,12,2,90,16,,,,,.992,,10349
Cesar Hernandez,PHI,2B,127,124,1096.1,224,337,11,7,4,75,32,46,2,,,,,,.981,,10556
Jedd Gyorko,STL,3B,109,102,900.0,53,212,9,4,5,25,24,3,0,,,,,,.967,,10816
Andrelton Simmons,LAA,SS,158,158,1369.2,235,436,14,4,10,90,47,46,8,,,,,,.980,,10847
Adam Duvall,CIN,LF,151,147,1277.1,267,15,6,3,3,0,1,0,0,,,,,,.979,,10950
Kole Calhoun,LAA,RF,154,153,1338.1,312,10,4,4,0,0,1,0,0,,,,,,.988,,11200
Jonathan Schoop,BAL,2B,159,158,1385.0,329,446,15,8,7,126,42,85,8,,,,,,.981,,11265
Whit Merrifield,KCR,2B,132,131,1142.2,232,341,11,8,3,89,29,61,3,,,,,,.981,,11281
Yasmani Grandal,LAD,C,117,113,999.1,1089,54,6,2,4,1,2,1,1,,44,21,16,29,.995,,11368
Odubel Herrera,PHI,CF,133,128,1144.0,323,6,2,2,0,0,3,0,0,,,,,,.994,,11476
Christian Yelich,MIA,CF,155,155,1368.2,370,1,1,1,0,0,0,0,0,,,,,,.997,,11477
Michael Taylor,WSN,CF,111,106,940.1,258,8,4,4,0,0,1,0,0,,,,,,.985,,11489
Manny Machado,BAL,3B,156,156,1370.0,114,297,14,8,6,34,28,8,2,,,,,,.967,,11493
Bryce Harper,WSN,RF,110,109,938.0,173,8,2,1,1,0,2,0,0,,,,,,.989,,11579
Brandon Drury,ARI,2B,114,109,947.0,154,276,10,7,3,58,27,32,2,,,,,,.977,,11615
Nick Castellanos,DET,3B,129,128,1098.1,77,202,18,11,6,20,20,1,1,,,,,,.939,,11737
J.T. Realmuto,MIA,C,126,125,1095.2,929,87,6,2,3,3,9,1,3,,53,25,9,44,.994,,11739
Joe Panik,SFG,2B,137,131,1191.0,249,332,9,8,1,80,22,59,5,,,,,,.985,,11936
Travis Shaw,MIL,3B,143,142,1221.1,90,255,9,6,3,26,30,1,1,,,,,,.975,,11982
Max Kepler,MIN,RF,138,120,1086.0,264,7,2,2,0,0,3,0,0,,,,,,.993,,12144
Eddie Rosario,MIN,LF,138,126,1108.1,225,5,4,2,2,0,1,0,0,,,,,,.983,,12155
Xander Bogaerts,BOS,SS,146,142,1310.1,199,336,17,7,10,72,40,31,4,,,,,,.969,,12161
Maikel Franco,PHI,3B,144,143,1251.0,103,215,15,8,7,17,19,1,3,,,,,,.955,,12179
Scott Schebler,CIN,RF,120,115,986.2,188,7,5,4,1,0,2,0,0,,,,,,.975,,12225
Rougned Odor,TEX,2B,158,157,1366.1,321,429,19,10,9,121,49,76,6,,,,,,.975,,12282
Kevin Pillar,TOR,CF,153,148,1343.1,316,8,1,1,0,0,0,0,0,,,,,,.997,,12434
Eugenio Suarez,CIN,3B,153,149,1302.0,103,267,9,4,5,25,28,2,3,,,,,,.976,,12552
Trevor Story,COL,SS,142,133,1185.1,191,408,11,5,6,92,38,57,6,,,,,,.982,,12564
Anthony Rendon,WSN,3B,145,143,1268.1,83,244,7,1,5,27,26,1,1,,,,,,.979,,12861
Francisco Lindor,CLE,SS,158,158,1377.0,210,391,10,7,3,98,54,45,12,,,,,,.984,,12916
Austin Hedges,SDP,C,115,109,933.1,921,56,10,1,9,2,4,2,4,,45,26,3,35,.990,,12976
Jackie Bradley Jr.,BOS,CF,132,131,1204.1,300,6,4,3,1,0,1,0,0,,,,,,.987,,12984
Josh Bell,PIT,1B,147,139,1186.1,1139,86,10,4,5,104,5,1,113,16,,,,,.992,,13145
Jorge Polanco,MIN,SS,130,127,1119.2,154,335,18,10,8,65,36,29,5,,,,,,.965,,13152
Orlando Arcia,MIL,SS,152,137,1240.1,253,415,20,14,6,99,38,61,5,,,,,,.971,,13185
Mike Zunino,SEA,C,120,112,994.0,894,56,7,3,4,0,2,1,3,,54,17,10,52,.993,,13265
Jake Lamb,ARI,3B,144,143,1264.0,84,241,14,10,4,17,18,1,1,,,,,,.959,,13329
Mookie Betts,BOS,RF,153,153,1389.1,366,8,5,1,4,0,1,0,0,,,,,,.987,,13611
Corey Seager,LAD,SS,138,134,1162.0,185,324,11,5,6,69,37,36,4,,,,,,.979,,13624
Byron Buxton,MIN,CF,137,131,1143.0,389,6,5,2,3,0,1,0,0,,,,,,.988,,14161
Carlos Correa,HOU,SS,108,108,946.0,127,282,9,7,2,59,32,28,2,,,,,,.979,,14162
Yasiel Puig,LAD,RF,145,135,1201.2,259,4,1,0,0,0,0,0,0,,,,,,.996,,14225
Manuel Margot,SDP,CF,123,121,1049.2,273,6,3,2,1,0,0,0,0,,,,,,.989,,14712
Tim Anderson,CHW,SS,145,145,1264.0,197,363,28,16,12,76,50,29,9,,,,,,.952,,15172
Kris Bryant,CHC,3B,144,139,1212.2,72,260,18,9,9,20,20,2,2,,,,,,.949,,15429
Hunter Renfroe,SDP,RF,120,117,1015.0,204,9,9,1,8,0,1,0,0,,,,,,.960,,15464
Aaron Judge,NYY,RF,141,141,1238.2,265,5,5,3,2,0,2,0,0,,,,,,.982,,15640
Jose Abreu,CHW,1B,139,138,1197.0,1135,78,8,7,1,121,9,2,125,23,,,,,.993,,15676
Alex Bregman,HOU,3B,132,127,1092.2,86,241,10,7,3,26,23,4,1,,,,,,.970,,17678
Andrew Benintendi,BOS,LF,123,116,1078.1,189,11,5,3,2,0,1,0,0,,,,,,.976,,17901
Dansby Swanson,ATL,SS,142,135,1202.0,196,358,20,13,7,77,37,40,7,,,,,,.965,,18314
Yulieski Gurriel,HOU,1B,131,130,1109.1,991,90,8,5,2,108,13,0,109,29,,,,,.993,,19198
