"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"SL","2017-05-19","82.1","-2.5913","3.6855","Justin Smoak",475253,503285,"strikeout","swinging_strike",,,,,"14","Orioles challenged (hit by pitch), call on the field was overturned: Justin Smoak strikes out swinging.  ","R","L","R","BAL","TOR","S","null","null",2,2,2017,"-0.8882","0.0048","2.0555","1.4636","458085.00","430832.00","434778.00",2,7,"Top","null","null",,,456078,,"170520_015307",,,,,,,"3.5513","1.7113","null","null","null","83.4910","null","6.9250",490731,503285,456078,448801,570731,592518,429666,547957,430945,444432,"53.5757","0.000","0.000","0.00",1,0,0
"SI","2017-05-19","88.7","-2.6140","3.5554","Justin Smoak",475253,503285,"null","ball",,,,,"13","null","R","L","R","BAL","TOR","B","null","null",1,2,2017,"1.5944","0.0771","-0.9959","1.2217","458085.00","430832.00","434778.00",2,7,"Top","null","null",,,456078,,"170520_015206",,,,,,,"3.8225","1.8299","null","null","null","88.8390","2310","6.4650",490731,503285,456078,448801,570731,592518,429666,547957,430945,444432,"54.0358","0.000","0.000","null","null","null","null"
"FF","2017-05-19","88.7","-2.5952","3.7477","Justin Smoak",475253,503285,"null","foul",,,,,"5","null","R","L","R","BAL","TOR","S","null","null",1,2,2017,"1.5040","0.6081","0.0247","2.7829","458085.00","430832.00","434778.00",2,7,"Top","null","null",,,456078,,"170520_015129",,,,,,,"3.5513","1.7113","null","null","null","88.6320","2370","6.3730",490731,503285,456078,448801,570731,592518,429666,547957,430945,444432,"54.1276","0.000","0.000","null","null","null","null"
"SL","2017-05-19","81.6","-2.8091","3.5325","Justin Smoak",475253,503285,"null","called_strike",,,,,"7","null","R","L","R","BAL","TOR","S","null","null",1,1,2017,"-0.2919","0.6110","-0.6521","2.2549","458085.00","430832.00","434778.00",2,7,"Top","null","null",,,456078,,"170520_015041",,,,,,,"3.7691","1.8633","null","null","null","81.6710","2456","6.1410",490731,503285,456078,448801,570731,592518,429666,547957,430945,444432,"54.3603","0.000","0.000","null","null","null","null"
"SI","2017-05-19","88.4","-2.5527","3.4893","Justin Smoak",475253,503285,"null","called_strike",,,,,"13","null","R","L","R","BAL","TOR","S","null","null",1,0,2017,"1.5072","-0.5276","-0.4193","1.7406","458085.00","430832.00","434778.00",2,7,"Top","null","null",,,456078,,"170520_015013",,,,,,,"3.8631","1.8831","null","null","null","87.9100","2327","6.3330",490731,503285,456078,448801,570731,592518,429666,547957,430945,444432,"54.1684","0.000","0.000","null","null","null","null"
"SI","2017-05-19","88.0","-2.5167","3.5579","Justin Smoak",475253,503285,"null","ball",,,,,"13","null","R","L","R","BAL","TOR","B","null","null",0,0,2017,"1.5969","-0.6598","-0.5584","1.2328","458085.00","430832.00","434778.00",2,7,"Top","null","null",,,456078,,"170520_014941",,,,,,,"3.9310","2.0578","null","null","null","87.0340","2357","6.1870",490731,503285,456078,448801,570731,592518,429666,547957,430945,444432,"54.3136","0.000","0.000","null","null","null","null"
"SL","2017-05-19","85.7","-3.6083","6.1543","Justin Smoak",475253,501957,"field_out","hit_into_play",,,,,"4","Justin Smoak lines out sharply, second baseman Jonathan Schoop to first baseman Chris Davis.  ","R","L","R","BAL","TOR","X","4","line_drive",1,2,2017,"-0.2824","0.6281","-0.4274","2.6893","null","null","null",1,6,"Top","156.82","126.05",,,456078,,"170520_011854",,,,,,,"3.9252","1.6283","171","103.4","10.1840","85.0010","2341","5.7530",490731,501957,456078,448801,570731,592518,429666,547957,430945,444432,"54.7476","0.840","0.824","0.00",1,0,0
"KC","2017-05-19","76.2","-3.3866","6.2629","Justin Smoak",475253,501957,"null","ball",,,,,"11","null","R","L","R","BAL","TOR","B","null","null",0,2,2017,"-0.9128","-1.2956","-2.7938","4.9521","null","null","null",1,6,"Top","null","null",,,456078,,"170520_011831",,,,,,,"3.8008","1.9819","null","null","null","74.6620","2047","5.5730",490731,501957,456078,448801,570731,592518,429666,547957,430945,444432,"54.9281","0.000","0.000","null","null","null","null"
"KC","2017-05-19","75.2","-3.3325","6.3057","Justin Smoak",475253,501957,"null","foul",,,,,"7","null","R","L","R","BAL","TOR","S","null","null",0,1,2017,"-0.2828","-1.1737","-0.7005","1.9046","null","null","null",1,6,"Top","null","null",,,456078,,"170520_011806",,,,,,,"3.5513","1.7113","null","null","null","73.3690","2029","5.6130",490731,501957,456078,448801,570731,592518,429666,547957,430945,444432,"54.8884","0.000","0.000","null","null","null","null"
"FF","2017-05-19","90.8","-3.2341","6.3364","Justin Smoak",475253,501957,"null","called_strike",,,,,"8","null","R","L","R","BAL","TOR","S","null","null",0,0,2017,"0.5660","1.6317","-0.1661","2.2800","null","null","null",1,6,"Top","null","null",,,456078,,"170520_011749",,,,,,,"3.8450","1.9393","null","null","null","90.0670","2234","6.1100",490731,501957,456078,448801,570731,592518,429666,547957,430945,444432,"54.3915","0.000","0.000","null","null","null","null"
