Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Ozzie Albies,Braves,9,41,43,10,3,3,1,3,9,6,0,0,6,1,0,1,2,1,0,.244,16556
Hunter Pence,Giants,8,29,29,7,6,1,0,0,2,0,0,0,6,0,0,0,0,1,0,.241,8252
Brett Gardner,Yankees,10,42,51,10,7,2,0,1,10,3,7,0,12,0,0,2,0,0,0,.238,9927
Josh Donaldson,Blue Jays,10,38,44,9,6,1,0,2,9,5,6,1,11,0,0,0,0,1,0,.237,5038
Matt Joyce,Athletics,11,34,43,8,4,2,0,2,6,4,8,1,6,0,1,0,0,0,0,.235,3353
Miguel Rojas,Marlins,9,34,38,8,5,2,0,1,3,2,3,0,4,1,0,0,2,1,0,.235,7802
Trea Turner,Nationals,9,34,42,8,7,0,0,1,4,2,8,1,7,0,0,0,0,5,0,.235,16252
Leonys Martin,Tigers,7,30,35,7,6,1,0,0,5,2,5,0,8,0,0,0,0,1,1,.233,11846
Jose Pirela,Padres,10,43,45,10,7,2,1,0,5,3,1,0,10,1,0,0,0,1,0,.233,5485
Welington Castillo,White Sox,7,26,28,6,2,2,0,2,3,4,2,0,7,0,0,0,2,0,0,.231,3256
Ender Inciarte,Braves,9,39,44,9,7,2,0,0,5,5,3,0,8,0,1,1,1,2,0,.231,4922
Eddie Rosario,Twins,7,26,28,6,4,1,0,1,5,2,2,0,6,0,0,0,0,2,0,.231,12155
Trey Mancini,Orioles,10,39,46,9,7,1,0,1,4,4,6,0,8,0,1,0,1,0,0,.231,15149
Luis Valbuena,Angels,10,35,37,8,5,1,0,2,6,5,2,0,8,0,0,0,0,0,0,.229,4969
Ian Desmond,Rockies,9,35,35,8,5,1,0,2,3,7,0,0,11,0,0,0,2,0,0,.229,6885
Andrew McCutchen,Giants,8,35,36,8,5,2,0,1,3,4,1,0,7,0,0,0,2,1,0,.229,9847
Lucas Duda,Royals,6,22,23,5,3,0,0,2,2,7,1,0,7,0,0,0,0,0,0,.227,2502
Joey Votto,Reds,8,31,34,7,7,0,0,0,0,2,1,0,6,1,1,0,0,0,0,.226,4314
J.D. Martinez,Red Sox,8,31,35,7,4,1,1,1,4,4,3,0,11,0,1,0,2,0,0,.226,6184
Neil Walker,Yankees,8,31,36,7,6,1,0,0,4,3,5,1,3,0,0,0,0,0,0,.226,7539
Todd Frazier,Mets,8,27,35,6,3,3,0,0,4,5,6,0,8,1,1,0,1,1,0,.222,785
Mike Moustakas,Royals,7,27,29,6,4,1,1,0,3,2,2,1,6,0,0,0,1,0,0,.222,4892
Jason Heyward,Cubs,9,27,33,6,4,1,0,1,6,4,4,0,5,0,1,0,1,0,0,.222,4940
Whit Merrifield,Royals,7,27,30,6,5,1,0,0,3,1,1,0,3,1,0,1,0,0,0,.222,11281
Brad Miller,Rays,9,27,30,6,4,1,0,1,2,5,3,0,8,0,0,0,0,0,0,.222,12775
Mike Trout,Angels,10,41,47,9,3,3,0,3,9,7,6,1,9,0,0,0,2,2,0,.220,10155
Jonathan Schoop,Orioles,10,46,48,10,6,3,0,1,6,1,1,0,13,0,0,1,1,0,0,.217,11265
Evan Gattis,Astros,9,33,37,7,3,4,0,0,3,3,4,0,12,0,0,0,0,0,0,.212,11003
Yoenis Cespedes,Mets,8,33,38,7,4,0,0,3,6,8,4,1,14,1,0,0,1,0,0,.212,13110
Trevor Story,Rockies,10,38,42,8,5,1,0,2,3,4,4,0,14,0,0,0,0,1,0,.211,12564
Ketel Marte,Diamondbacks,9,38,39,8,5,1,2,0,1,3,1,0,7,0,0,0,0,0,0,.211,13613
James McCann,Tigers,6,24,28,5,4,1,0,0,2,5,3,0,2,1,0,0,1,0,0,.208,12859
Anthony Santander,Orioles,7,29,32,6,3,2,0,1,2,4,3,0,5,0,0,0,0,1,0,.207,14551
Rougned Odor,Rangers,10,34,40,7,5,2,0,0,3,4,3,0,7,1,1,1,0,0,2,.206,12282
Corey Seager,Dodgers,8,34,39,7,7,0,0,0,3,1,5,1,6,0,0,0,2,0,0,.206,13624
George Springer,Astros,10,39,45,8,4,3,0,1,5,5,4,0,12,1,1,0,0,0,0,.205,12856
Chris Taylor,Dodgers,9,39,41,8,6,1,1,0,4,2,1,0,10,0,1,0,0,0,1,.205,13757
Yasiel Puig,Dodgers,9,39,43,8,6,2,0,0,5,2,3,0,7,0,1,0,2,1,1,.205,14225
Austin Jackson,Giants,6,25,26,5,4,1,0,0,0,1,0,0,6,0,1,0,1,0,0,.200,9848
Adeiny Hechavarria,Rays,9,35,35,7,7,0,0,0,2,3,0,0,6,0,0,0,0,0,0,.200,10459
Jose Peraza,Reds,7,25,26,5,5,0,0,0,2,0,0,0,7,0,0,1,3,0,0,.200,13593
Jeimer Candelario,Tigers,8,35,40,7,5,1,1,0,2,1,5,0,8,0,0,0,0,0,0,.200,13621
Joey Gallo,Rangers,11,45,48,9,4,2,0,3,6,8,3,0,12,0,0,0,0,0,0,.200,14128
Kole Calhoun,Angels,10,41,43,8,6,0,1,1,6,4,2,0,11,0,0,0,0,1,0,.195,11200
Francisco Lindor,Indians,9,36,41,7,6,1,0,0,4,0,4,0,9,0,0,1,0,3,1,.194,12916
Stephen Piscotty,Athletics,10,36,40,7,6,1,0,0,2,5,3,0,8,0,1,0,5,0,0,.194,13367
Edwin Encarnacion,Indians,9,31,37,6,3,0,0,3,4,4,3,0,9,2,0,0,0,0,0,.194,2151
Brandon Crawford,Giants,8,26,29,5,4,0,0,1,1,2,2,2,7,0,1,0,0,0,0,.192,5343
Kyle Seager,Mariners,7,26,29,5,3,1,0,1,2,4,3,0,5,0,0,0,0,0,0,.192,9785
Marwin Gonzalez,Astros,10,32,40,6,3,2,0,1,2,4,6,0,10,0,1,1,1,0,0,.188,5497
Gerardo Parra,Rockies,9,32,37,6,4,1,0,1,4,2,4,1,4,0,0,1,0,0,0,.188,8553
Tim Beckham,Orioles,10,43,45,8,5,2,0,1,6,3,2,0,18,0,0,0,0,1,0,.186,7949
Byron Buxton,Twins,7,27,27,5,4,1,0,0,0,2,0,0,9,0,0,0,0,2,0,.185,14161
Alex Bregman,Astros,10,38,45,7,5,2,0,0,2,3,7,0,5,0,0,0,2,0,0,.184,17678
Yonder Alonso,Indians,9,33,37,6,3,1,0,2,5,5,4,0,8,0,0,0,1,0,0,.182,2530
Justin Bour,Marlins,9,33,36,6,5,1,0,0,1,2,3,0,7,0,0,0,1,0,0,.182,9744
Khris Davis,Athletics,11,39,47,7,4,2,0,1,3,5,5,0,12,2,1,0,2,0,0,.179,9112
Matt Carpenter,Cardinals,9,28,37,5,3,1,0,1,5,3,8,0,10,0,1,0,0,0,0,.179,8090
